result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
13.52,+1.0,LCA,Eugene OR,USA,2013-06-06,Makeba Alcide,1990,Female,100H,NR
14.62,+0.5,LES,Maputo,MOZ,2011-09-13,Selloane Ts'oaeli,,Female,100H,NR
13.38,+2.0,LIE,Jona,SUI,1994-07-17,Manuela Marxer,1965,Female,100H,NR
13.10,+1.5,LTU,Beograd,SRB,2009-07-10,Sonata Tamošaitytė,1987,Female,100H,NR
13.24,+0.4,LUX,Schifflange,LUX,2022-06-26,Victoria Rausch,1996,Female,100H,NR
15.49,+0.4,MAC,Hongkong,HKG,2017-04-23,Cheng Ut I,,Female,100H,NR
12.84,+2.0,MAD,Niort,FRA,1999-07-31,Rosa Rakotozafy,1977,Female,100H,NR
13.44,+1.6,MAR,Fès,MAR,2012-06-16,Yamina Hajjaji,1988,Female,100H,NR
13.27,-1.3,MAS,Kassel,GER,2004-06-11,Siew Wei Moh,1978,Female,100H,NR
13.27,-1.3,MAS,Kassel,GER,2004-06-11,Moh Siew Wei,1978,Female,100H,NR
19.77,,MAW,Westminster CA,USA,2016-04-26,Juliet Komwa,,Female,100H,NR
12.81,+1.0,MDA,Cottbus,GDR,1982-06-26,Mariya Merchuk,1959,Female,100H,NR
19.84,+0.3,MDV,Bangkok,THA,2002-10-30,Nashfa Amira,1985,Female,100H,NR
13.20,,MEX,Ciudad de México,MEX,1990-05-19,Sandra Tavares,1962,Female,100H,NR
15.4,,MGL,Ulan Bator,MGL,1972-07-29,Batsuur Niamsouren,,Female,100H,NR
18.55,,MHL,Salem,GER,2016-04-27,Rosemaline Watley,2001,Female,100H,NR
13.36,+1.6,MKD,Sofia,BUL,1994-05-24,Elizabeta Pavlovska,1972,Female,100H,NR
13.21,-0.4,MLI,Chambéry,FRA,2010-07-04,Rahamatou Dramé,1985,Female,100H,NR
15.25,0.0,MLT,Marsa,MLT,2010-06-20,Marija Sciberras,1993,Female,100H,NR
14.20,+1.0,MNE,Istanbul,TUR,1999-06-27,Sanja Đurnić,1977,Female,100H,NR
15.09,,MON,Evry,FRA,1992-06-14,Carine Cresto,1973,Female,100H,NR
14.09,-0.2,MOZ,Macau,MAC,2006-10-12,Telma Cossa,1981,Female,100H,NR
14.10,+1.3,MRI,Val-de-Reuil,FRA,2001-06-23,Stephanie Domaingue,1980,Female,100H,NR
15.48,,MTN,Sharjah,UAE,2014-02-04,Badia Camara,1997,Female,100H,NR
14.35,,MYA,Manila,PHI,1981-12-13,Nwe Nwe Yee,,Female,100H,NR
14.34,+1.2,NAM,Johannesburg,RSA,2012-04-27,Steffi Van Wyk,,Female,100H,NR
14.75,+0.1,NCA,Columbia,USA,2019-04-13,Ariana Rivera,2002,Female,100H,NR
12.51,+0.4,NED,Zürich,SUI,2021-09-09,Nadine Visser,1995,Female,100H,NR
16.38,-0.7,NEP,Kathmandu,NEP,2019-12-05,Pramila Tharu,,Female,100H,NR
18.00,,NFI,Auckland,NZL,1997-01-25,Zinta Flitten,,Female,100H,NR
12.12,+0.9,NGR,Eugene OR,USA,2022-07-24,Tobi Amusan,1997,Female,100H,NR
18.86,+0.7,NIG,Niamey,NIG,2019-07-20,Mariama Mahamadou Nouha,1999,Female,100H,NR
17.50,,NMI,Pohnpei,FSM,2014-07-21,Rachel Abrams,1995,Female,100H,NR
12.72,+0.2,NOR,London,GBR,2018-07-22,Isabelle Pedersen,1992,Female,100H,NR
13.10,+1.0,NZL,Génève,SUI,2009-06-06,Andrea Miller,1982,Female,100H,NR
13.10,+0.8,NZL,Sydney,AUS,2016-04-03,Rochelle Coster,1988,Female,100H,NR
13.87,+1.6,OMA,Al-Kuwait,KUW,2022-05-16,Mazoon Al-Alawi,1997,Female,100H,NR
14.66,,PAK,Peshawar,PAK,2019-11-11,Ghazala Ramzan,1999,Female,100H,NR
12.86,+0.9,PAN,Ciudad de México,MEX,2014-08-16,Yvette Lewis,1985,Female,100H,NR
13.40,+1.7,PAR,Medellín,COL,2016-04-23,Camila Pirelli,1989,Female,100H,NR
13.25,+0.5,PER,Lima,PER,2019-08-07,Diana Bazalar,1995,Female,100H,NR
13.65,-0.6,PHI,Pune,IND,2007-06-27,Sheena Atilano,1980,Female,100H,NR
18.98,,PLE,Jamhour,LBN,2022-04-07,Sheba Al-Turbin,,Female,100H,NR
18.56,,PLW,Susupe,NMI,2006-06-27,Barbara Gbewonyo,,Female,100H,NR
