result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
49.18,PNG,Kingsville,USA,2019-05-25,Sharon Toako,1992,Female,JT,NR,Outdoor
71.40,POL,Split,CRO,2021-05-09,Maria Andrejczyk,1996,Female,JT,NR,Outdoor
59.76,POR,Leiria,POR,2008-06-21,Sílvia Cruz,1980,Female,JT,NR,Outdoor
49.80,PRK,Pyongyang,PRK,2013-04-22,Kim Un Suk,,Female,JT,NR,Outdoor
62.31,PUR,Gurabo,PUR,2022-06-17,Coralys Ortiz,1985,Female,JT,NR,Outdoor
38.81,QAT,Manama,BRN,2016-04-15,Sarah Ahmad Al-Mannai,,Female,JT,NR,Outdoor
65.08,ROU,Bucureşti,ROU,2001-06-10,Ana Mirela Ţermure,1975,Female,JT,NR,Outdoor
69.35,RSA,New York,USA,2012-06-09,Sunette Viljoen,1983,Female,JT,NR,Outdoor
70.53,RUS,Berlin,GER,2013-09-01,Mariya Abakumova,1986,Female,JT,NR,Outdoor
33.94,RWA,Nogent-sur-Oise,FRA,2002-05-05,Dativa Mukandinda,,Female,JT,NR,Outdoor
54.78,SAM,Wellington,NZL,2004-03-14,Serafina Akeli,1978,Female,JT,NR,Outdoor
51.05,SEN,Limburgerhof,GER,2010-05-24,Florence Correa,1981,Female,JT,NR,Outdoor
57.86,SEY,Victoria2,SEY,2005-06-25,Lindy Leveau-Agricole,1979,Female,JT,NR,Outdoor
51.66,SGP,Hanoi,VIE,2003-12-11,Zhang Guirong,1978,Female,JT,NR,Outdoor
43.34,SKN,Caracas,VEN,2023-04-27,Jahzar Claxton,2006,Female,JT,NR,Outdoor
40.02,SLE,Freetown,SLE,2012-12-26,Fatmata Kargbo,,Female,JT,NR,Outdoor
67.16,SLO,Doha,QAT,2010-05-14,Martina Ratej,1981,Female,JT,NR,Outdoor
34.41,SMR,Firenze,ITA,2006-06-02,Eleonora Rossi,1988,Female,JT,NR,Outdoor
39.35,SOL,Honiara,SOL,2023-11-30,Stephany Sukeitaoha,,Female,JT,NR,Outdoor
64.21,SRB,Zürich,SUI,2014-08-14,Tatjana Mirković,1990,Female,JT,NR,Outdoor
61.57,SRI,Hangzhou,CHN,2023-10-03,H.L. Dilhani Lekamge,1987,Female,JT,NR,Outdoor
28.41,SSD,Asaba,NGR,2018-08-04,Chajen Dang Yien,,Female,JT,NR,Outdoor
43.12,STP,Folha Féde,STP,2013-08-04,Jucelina Mendes,,Female,JT,NR,Outdoor
39.02,SUD,Khartoum,SUD,2004-10-10,Munika Kosia,,Female,JT,NR,Outdoor
58.31,SUI,Götzis,AUT,2017-05-28,Géraldine Ruckstuhl,1998,Female,JT,NR,Outdoor
42.97,SUR,Georgetown,USA,2014-08-02,Charissa Douglas,,Female,JT,NR,Outdoor
53.07,SVK,Pula,CRO,1999-06-05,Eva Hanuliaková,1975,Female,JT,NR,Outdoor
61.96,SWE,Moskva,RUS,2013-08-16,Sofi Flink,1995,Female,JT,NR,Outdoor
35.29,SWZ,Bellville,RSA,2000-05-06,G. Mbali,,Female,JT,NR,Outdoor
54.82,SYR,Sevilla,ESP,1999-08-22,Ghada Shouaa,1972,Female,JT,NR,Outdoor
47.33,TAN,Ndola,ZAM,2023-04-30,Mwanaamina Hasan,2005,Female,JT,NR,Outdoor
45.25,TGA,Mont Dore,FRA,2008-03-05,Ana Po'uhila-Kisina,1979,Female,JT,NR,Outdoor
61.40,THA,Bangkok,THA,2007-08-14,Buoban Phamang,1986,Female,JT,NR,Outdoor
37.25,TJK,Dushanbe,TJK,2015-05-20,Mavluda Aslamova,1994,Female,JT,NR,Outdoor
52.16,TKM,Bangkok,THA,2023-07-12,Jannet Mukhamova,1999,Female,JT,NR,Outdoor
24.77,TKS,Nassau,BAH,2002-04-01,Varlene Francis,,Female,JT,NR,Outdoor
19.10,TLS,Dili,TLS,2014-11-30,Delfina Soares,,Female,JT,NR,Outdoor
43.68,TOG,Ouagadougou,BUR,2001-05-20,Princesse Tchangai,,Female,JT,NR,Outdoor
57.15,TPE,Kaohsiung,TPE,2019-02-18,Li Huei-Chun,1999,Female,JT,NR,Outdoor
54.10,TTO,Austin,USA,2000-04-08,Geraldine George,1972,Female,JT,NR,Outdoor
60.87,TUN,Tunis,TUN,2004-06-23,Aida Sellam,1977,Female,JT,NR,Outdoor
67.21,TUR,Baku,AZE,2017-05-18,Eda Tuğsuz,1997,Female,JT,NR,Outdoor
31.66,TUV,Funafuti,TUV,2012-06-23,Inara Sioni,,Female,JT,NR,Outdoor
31.67,UAE,Manama,BRN,2013-03-09,Saida Khamis Ali Salim,,Female,JT,NR,Outdoor
57.01,UGA,Accra,GHA,2024-03-20,Josephine Lalam,2000,Female,JT,NR,Outdoor
67.29,UKR,Kirovohrad,UKR,2014-07-26,Hanna Hatsko,1990,Female,JT,NR,Outdoor
58.35,URU,Santiago de Chile,CHI,2023-11-03,Manuela Rotundo,2004,Female,JT,NR,Outdoor
68.11,USA,Bruxelles,BEL,2022-09-02,Kara Winger,1986,Female,JT,NR,Outdoor
61.17,UZB,Tashkent,UZB,2012-04-24,Anastasiya Svechnikova,1992,Female,JT,NR,Outdoor
36.36,VAN,Port Vila,VAN,2001-07-09,Rachelle Reverouro,,Female,JT,NR,Outdoor
59.33,VEN,La Habana,CUB,2012-06-22,Yusbelys Parra,1986,Female,JT,NR,Outdoor
56.37,VIE,Hanoi,VIE,2022-05-18,Lo Thi Hoang,1997,Female,JT,NR,Outdoor
32.72,VIN,Douglas,GBR,2011-09-09,Shaquille Branker,,Female,JT,NR,Outdoor
25.39,YEM,Amman,JOR,2007-10-27,Hana Srouri,1991,Female,JT,NR,Outdoor
51.78,YUG,Niš,SRB,2000-06-18,Maja Janjic,1983,Female,JT,NR,Outdoor
50.55,ZAM,Alger,ALG,2007-07-20,Miriam Mukulama,1989,Female,JT,NR,Outdoor
42.70,ZIM,Luanda,ANG,2016-12-14,Wayne Nkomo,1997,Female,JT,NR,Outdoor
