result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
9.85,1.3,NFI,Christchurch,NZL,2002-12-14,Jedda Fletcher,,Female,TJ,NR,Outdoor
14.50,2.0,NGR,Lubbock,USA,2021-04-10,Ruth Usoro,1997,Female,TJ,NR,Outdoor
10.04,,NIG,Niamey,NIG,1998-05-31,Farida Illaaouta,,Female,TJ,NR,Outdoor
9.86,,NIU,Tumbi Umbi,NIU,2003-02-01,Jade Roughan,,Female,TJ,NR,Outdoor
10.10,,NMI,Koror,PLW,2010-05-08,Jackie Wonenberg,,Female,TJ,NR,Outdoor
13.83,1.2,NOR,Pula,CRO,1999-06-05,Lene Espegren,1971,Female,TJ,NR,Outdoor
9.40,,NRU,Yaren,NRU,2006-03-28,Dana Thoma,1989,Female,TJ,NR,Outdoor
13.91,0.0,NZL,Sydney,AUS,2016-04-02,Nneka Okpala,1988,Female,TJ,NR,Outdoor
10.43,,OMA,Amman,JOR,2008-04-11,Buthayna Eid Al-Yacoubi,1991,Female,TJ,NR,Outdoor
10.43,,OMA,Doha,QAT,2017-03-10,Khadija Suleiman Al-Manjieh,,Female,TJ,NR,Outdoor
12.25,,PAK,Peshawar,PAK,2019-11-12,Maria Maratab,1991,Female,TJ,NR,Outdoor
12.58,,PAN,Ciudad de Panamá,PAN,2016-04-30,Ana Martínez,1994,Female,TJ,NR,Outdoor
13.04,2.0,PAR,Encarnación,PAR,2021-10-17,Ana Paula Arguello,2003,Female,TJ,NR,Outdoor
13.63,0.4,PER,Lima,PER,2022-03-05,Silvana Segura,1990,Female,TJ,NR,Outdoor
12.92,1.3,PHI,Sacramento,USA,2018-05-26,Marisa Kwiatkowski,1996,Female,TJ,NR,Outdoor
9.95,0.7,PLE,Damascus,SYR,2004-09-13,Kmar Assoued,,Female,TJ,NR,Outdoor
9.89,0.7,PLW,Susupe,NMI,2006-06-26,Barbara Gbewonyo,,Female,TJ,NR,Outdoor
13.28,1.4,PNG,Bradenton,USA,2017-05-27,Rellie Kaputin,1993,Female,TJ,NR,Outdoor
14.44,1.8,POL,Barcelona,ESP,2010-07-29,Malgorzata Trybanska,1981,Female,TJ,NR,Outdoor
14.44,1.8,POL,Barcelona,ESP,2010-07-29,Małgorzata Trybańska-Strońska,1981,Female,TJ,NR,Outdoor
15.01,1.0,POR,Tokyo,JPN,2021-08-01,Patrícia Mamona,1988,Female,TJ,NR,Outdoor
13.40,,PRK,Pyongyang,PRK,1998-10-10,O Mi Song,1976,Female,TJ,NR,Outdoor
13.53,1.7,PUR,Chula Vista,USA,2019-06-16,Tanasia Lea,1991,Female,TJ,NR,Outdoor
12.83,1.5,PYF,Suva,FIJ,2003-07-12,Velomique Boyer,1972,Female,TJ,NR,Outdoor
11.22,,QAT,Muscat,OMA,2015-03-14,Mubaraka Al-Mannai,,Female,TJ,NR,Outdoor
15.16,0.1,ROU,Athína,GRE,1997-08-04,Rodica Mateescu,1971,Female,TJ,NR,Outdoor
14.03,-1.3,RSA,Pretoria,RSA,2020-03-07,Zinzi Xulu,1996,Female,TJ,NR,Outdoor
15.34,-0.5,RUS,Iráklio,GRE,2004-07-04,Tatyana Lebedeva,1976,Female,TJ,NR,Outdoor
10.85,,RWA,Kigali,RWA,2018-01-07,Marthe Niyonkuru,,Female,TJ,NR,Outdoor
11.13,,SAM,Apia,SAM,2006-12-16,Sopolema Tuitama,,Female,TJ,NR,Outdoor
15.00,1.2,SEN,Iráklio,GRE,2004-07-04,Kéne Ndoye,1978,Female,TJ,NR,Outdoor
12.95,,SEY,Nairobi,KEN,2011-07-15,Jane Boniface,1991,Female,TJ,NR,Outdoor
12.92,-2.9,SGP,Philadelphia,USA,2023-05-07,Tia Louise Rozario,2000,Female,TJ,NR,Outdoor
12.67,,SKN,Hobbs,USA,2019-05-18,Krystal Liburd,1997,Female,TJ,NR,Outdoor
10.91,,SLE,Oakton,USA,2006-05-06,Assiatu Williams,,Female,TJ,NR,Outdoor
15.03,1.1,SLO,Beijing,CHN,2008-08-17,Marija Šestak,1979,Female,TJ,NR,Outdoor
11.65,,SMR,San Marino,SMR,2003-04-26,Lucia Gualandra,1978,Female,TJ,NR,Outdoor
10.52,0.2,SOL,Honiara,SOL,2023-10-26,Charlyn Mamae,2000,Female,TJ,NR,Outdoor
14.56,-0.4,SRB,Thessaloníki,GRE,2009-09-13,Biljana Topić,1977,Female,TJ,NR,Outdoor
13.66,1.6,SRI,Colombo,SRI,2019-08-18,H.D. Viduka Lakshani,1996,Female,TJ,NR,Outdoor
11.83,-2.0,SSD,La Crosse,USA,2018-05-17,Nyakume Becca Ter Dup,,Female,TJ,NR,Outdoor
