Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;5;200;M;20.12;0.8;Gumi Civic Stadium;KOR;Outdoor;2025-05-31;Towa;Uzawa;JPN;2002;Male;14860469
AL;5;SPE;M;90.23;;Suhaim bin Hamad Stadium;QAT;Outdoor;2025-05-16;Neeraj;Chopra;IND;1997;Male;14549089
AL;5;600;W;1:36.25;;Dennis Fairall Fieldhouse;CAN;Indoor;2025-02-22;Asima;Kidwai;IND;;Female;15135097
AL;5;60H;W;8.0;;L'Anneau-Halle d'athlétisme de Metz;FRA;Indoor;2025-02-08;Yumi;Tanaka;JPN;1998;Female;14712879
AL;5;DRE;W;13.97;0.1;Chongqing;CHN;Outdoor;2025-05-16;Qiujiao;Tan;CHN;2000;Female;14795857
AL;5;10H;W;12.81;0.7;National Stadium;JPN;Outdoor;2025-05-18;Yumi;Tanaka;JPN;1998;Female;14712879
AL;5;200;W;22.45;0.0;Estadio Luguelín Santos;DOM;Outdoor;2025-03-29;Salwa;Eid Naser;BRN;1998;Female;14643442
AL;5;HAM;W;76.6;;Betty Heidler Arena;GER;Outdoor;2025-06-08;Jie;Zhao;CHN;2002;Female;14889043
AL;5;HOC;M;2.32;;Stadio Olimpico;ITA;Outdoor;2025-06-06;Sanghyeok;Woo;KOR;1996;Male;14532326
AL;5;100;W;11.22;0.9;Gumi Civic Stadium;KOR;Outdoor;2025-05-27;Xiaojing;Liang;CHN;1997;Female;14583567
AL;5;10K;W;30:48.44;;Gumi Civic Stadium;KOR;Outdoor;2025-05-29;Daisy;Jepkemei;KAZ;1996;Female;14530633
AL;5;400;M;45.23;;National Stadium;JPN;Outdoor;2025-05-18;Fuga;Sato;JPN;1996;Male;14766515
AL;5;KUG;M;20.32;;Gumi Civic Stadium;KOR;Outdoor;2025-05-29;Mohammad;Reza Tayebi;IRI;1998;Male;14813812
AL;5;400;W;48.67;;National Stadium;JAM;Outdoor;2025-04-05;Salwa;Eid Naser;BRN;1998;Female;14643442
AL;5;MEI;M;3:54.72;;Boston Univ. Track & Tennis Center;USA;Indoor;2025-02-14;Kieran;Tuntivate;THA;1997;Male;14647807
AL;5;3K0;W;8:33.52;;Armory Track&Field Center;USA;Indoor;2025-02-08;Nozomi;Tanaka;JPN;1999;Female;14632538
AL;5;DRE;M;17.37;0.6;Maharaja's College Grounds;IND;Outdoor;2025-04-24;Praveen;Chithravel;IND;2001;Male;14841034
AL;5;5G;M;18:39.41;;Komazawa Olympic Park Athletic Stadium;JPN;Outdoor;2025-04-26;Ryo;Hamanishi;JPN;2000;Male;14781689
AL;5;MEI;W;4:28.54;;The Track at New Balance;USA;Indoor;2025-02-02;Nozomi;Tanaka;JPN;1999;Female;14632538
AL;5;4×4;X;3:13.39;;Tianhe Sports Center;CHN;Outdoor;2025-05-11;PR;Of China;CHN;;Mixed;
AL;5;3KH;M;8:10.11;;Egret Stadium;CHN;Outdoor;2025-04-26;Ryuji;Miura;JPN;2002;Male;14860379
AL;5;4×1;M;37.84;;Tianhe Sports Center;CHN;Outdoor;2025-05-10;Japan;;JPN;;Male;
AL;5;1K5;W;4:04.01;;Stade Olympique;MAR;Outdoor;2025-05-25;Nelly;Jepkosgei;BRN;1991;Female;14373314
AL;6;11H;M;13.45;1.8;Sentara Park;USA;Outdoor;2025-05-09;Colby;Eddowes;AUS;2002;Male;14814093
AL;6;10G;W;43:24.67;;AIS Athletics Track;AUS;Outdoor;2025-01-26;Jemima;Montag;AUS;1998;Female;14457807
