Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;6;200;MJU20;20.42;-2.1;QSAC State Athletics Facility;AUS;Outdoor;2026-03-15;Gout;Gout;AUS;2007;Male;15006779
AL;6;5K0;MJU20;13:53.15;;Hagenauer Reserve;AUS;Outdoor;2026-02-19;Charles;Barrett;AUS;2007;Male;15009396
AL;6;HAM;MJU20;62.21;;SA Athletic Stadium;AUS;Outdoor;2026-03-13;Connor;Hopgood;AUS;2008;Male;15013013
AL;6;HOC;WJU20;1.95;;AIS Athletics Track;AUS;Outdoor;2026-01-25;Izobelle;Louison-Roe;AUS;2007;Female;14963976
AL;6;800;MJU20;1:44.37;;SA Athletic Stadium;AUS;Outdoor;2026-03-14;Daniel;Williams;AUS;2007;Male;15008740
AL;6;DIS;MJU20;47.42;;SA Athletic Stadium;AUS;Outdoor;2026-03-07;Noah;Schoepf;AUS;2007;Male;14968500
AL;6;4×1;WJU20;46.94;;Douglas Track & Field;NZL;Outdoor;2026-03-06;Waikato;Bay Of Plenty U20;NZL;;Female;
AL;6;400;WJU20;53.6;;Reno Livestock Events Center;USA;Indoor;2026-02-28;Shari;Hurdman;AUS;2007;Female;14862081
AL;6;SPE;MJU20;62.1;;WA Athletics Stadium;AUS;Outdoor;2026-01-24;Wyatt;Hill;AUS;2008;Male;15076097
AL;6;200;WJU20;23.17;0.9;SOPAC;AUS;Outdoor;2026-03-15;Maya;Taber;AUS;2009;Female;15052774
AL;6;KUG;MJU20;16.12;;Cooks Gardens;NZL;Outdoor;2026-01-24;Frazer;Hazeldine;NZL;2009;Male;15190290
AL;6;DRE;WJU20;13.31;0.3;AIS Athletics Track;AUS;Outdoor;2026-01-26;Izobelle;Louison-Roe;AUS;2007;Female;14963976
AL;6;STA;WJU20;4.16;;Rawlinson Track – Melbourne Uni;AUS;Outdoor;2026-03-05;Jamison;Harding;AUS;2009;Female;15051314
AL;6;5K0;WJU20;16:00.08;;Hagenauer Reserve;AUS;Outdoor;2026-02-19;Imogen;Baker;AUS;2007;Female;14923911
AL;6;DRE;MJU20;15.86;1.9;Domain Athletic Centre;AUS;Outdoor;2026-02-28;Daniel;Okerenyang;AUS;2007;Male;15022386
AL;6;WEI;MJU20;7.62;1.2;AIS Athletics Track;AUS;Outdoor;2026-01-25;Mason;Mcgroder;AUS;2008;Male;15073596
AL;6;1K0;WJU20;2:50.22;;Domain Athletic Centre;AUS;Outdoor;2026-02-14;Violet;Owen;AUS;2009;Female;14960593
AL;6;40H;WJU20;58.80;;WA Athletics Stadium;AUS;Outdoor;2026-02-14;Maiya;Hewitt;AUS;2009;Female;15008731
