code,type,discipline,result,wind,venue,venueCountry,venueCity,environment,date,name,firstname,lastname,nation,yearOfBirth,sex
AL,3,SPE,61.34,,Centro de Atletismo Professor Oswaldo Terra,BRA,Sao Bernardo do Campo,Outdoor,2024-03-09,,Jucilene,Sales De Lima,BRA,1990,Female
AL,3,HAM,70.47,,Centro de Atletismo Professor Oswaldo Terra,BRA,Sao Bernardo do Campo,Outdoor,2024-03-09,,Allan,Wolski,BRA,1990,Male
AL,3,DRE,14.04,,Gobierno Autónomo Municipal de Cochabamba,BOL,Cochabamba,Indoor,2024-01-28,,Gabriele,Santos,BRA,1995.0,Female
AL,3,10K,35:09.61,,Estadio de Atletismo La Flora,COL,Bucaramanga,Outdoor,2024-03-01,,Muriel,Coneo Paredes,COL,1987,Female
AL,3,4×4,3:52.49,,Gobierno Autónomo Municipal de Cochabamba,BOL,Cochabamba,Indoor,2024-01-28,,,,BOL,,Female
AL,3,1K5,3:45.98,,CNDA,BRA,Bragança Paulista,Outdoor,2024-01-10,,Thiago,André,BRA,1995.0,Male
AL,3,60M,6.58,,Gobierno Autónomo Municipal de Cochabamba,BOL,Cochabamba,Indoor,2024-01-27,,Felipe,Bardi,BRA,1998.0,Male
AL,3,HOC,1.87,,Centro de Atletismo Professor Oswaldo Terra,BRA,Sao Bernardo do Campo,Outdoor,2024-03-09,,Valdileia,Martins,BRA,1989.0,Female
AL,3,600,1:32.84,,Gladstein Fieldhouse Indiana Un.,USA,"Bloomington, IN",Indoor,2024-01-19,,Kenisha,Phillips,GUY,2001,Female
AL,3,1K5,4:17.14,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-01,,Fedra,Aldana Luna,ARG,1995,Female
AL,3,2KH,5:47.06,,Estadio Brigido Iriarte,VEN,Caracas,Outdoor,2024-01-12,,Jose,Gonzalez,VEN,1994.0,Male
AL,3,WEI,6.63,1.7,Pista de Atletismo - Parque Deportivo,COL,Ibagué,Outdoor,2024-03-09,,Natalia,Linares,COL,2003.0,Female
AL,3,KUG,21.11,,Glasgow Arena,GBR,Glasgow,Indoor,2024-03-01,,Darlan,Romani,BRA,1991.0,Male
AL,3,400,51.72,,SPIRE Institute Indoor Track & Field Facility,USA,"Geneva, OH",Indoor,2024-02-24,,Kenisha,Phillips,GUY,2001.0,Female
AL,3,11H,13.38,0.7,COTP Stadium,BRA,São Paulo,Outdoor,2024-02-17,,Eduardo,Rodrigues,BRA,1995,Male
AL,3,1K0,2:29.36,,Pista Prado,URU,Montevideo,Outdoor,2024-02-17,,Gonzalo,Gervasini,URU,2005,Male
AL,3,60H,8.07,,Bob Devaney Sports Center,USA,"Lincoln, NE",Indoor,2024-02-03,,Yoveinny,Mota,VEN,2000.0,Female
AL,3,HOC,2.21,,Gobierno Autónomo Municipal de Cochabamba,BOL,Cochabamba,Indoor,2024-01-28,,Fernando,Ferreira,BRA,1994.0,Male
AL,3,200,23.75,0.9,National Track and Field Centre,GUY,Leonora,Outdoor,2024-03-03,,Tianna,Springer,GUY,2007.0,Female
AL,3,3G,13:05.93,,Pista Atlética Lázaro Escobar,CHI,Temuco,Outdoor,2024-03-02,,Luis,Navarrete Contreras,CHI,2003,Male
AL,3,5K0,16:40.37,,Estadio de Atletismo La Flora,COL,Bucaramanga,Outdoor,2024-03-03,,Muriel,Coneo Paredes,COL,1987,Female
AL,3,800,1:49.56,,COTP Stadium,BRA,São Paulo,Outdoor,2024-02-24,,Thiago,André,BRA,1995.0,Male
AL,4,3K0,7:25.82,,Arena,POL,Toruń,Indoor,2024-02-06,,Selemon,Barega,ETH,2000.0,Male
AL,4,400,45.16,,Pilditch Stadium,RSA,Pretoria,Outdoor,2024-02-10,,Bayapo,Ndori,BOT,1999.0,Male
