result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
48.63,400m,Oceania,,AUS,Atlanta GA,USA,1996-07-29,Cathy Freeman,1973,women,Outdoor
49.64,400m,South America,,COL,Barcelona,ESP,1992-08-05,Ximena Restrepo,1969,women,Outdoor
52.90,400m Hurdles,Africa,,MAR,Sevilla,ESP,1999-08-25,Nezha Bidouane,1969,women,Outdoor
53.09,400m Hurdles,Asia,,BRN,Budapest,HUN,2023-08-24,Kemi Adekoya,1993,women,Outdoor
51.45,400m Hurdles,Europe,,NED,London,GBR,2023-07-23,Femke Bol,2000,women,Outdoor
50.68,400m Hurdles,NACAC,,USA,Eugene OR,USA,2022-07-22,Sydney McLaughlin-Levrone,1999,women,Outdoor
53.17,400m Hurdles,Oceania,,AUS,Seoul,KOR,1988-09-28,Debbie Flintoff-King,1960,women,Outdoor
53.69,400m Hurdles,South America,,PAN,Eugene OR,USA,2022-07-20,Gianna Woodruff,1993,women,Outdoor
14:00.21,5000m,Africa,,ETH,Eugene OR,USA,2023-09-17,Gudaf Tsegay,1997,women,Outdoor
14:28.09,5000m,Asia,,CHN,Shanghai,CHN,1997-10-23,Jiang Bo,1977,women,Outdoor
14:13.42,5000m,Europe,,NED,London,GBR,2023-07-23,Sifan Hassan,1993,women,Outdoor
14:19.45,5000m,NACAC,,USA,London,GBR,2023-07-23,Alicia Monson,1998,women,Outdoor
14:47.76,5000m,South America,,VEN,Walnut CA,USA,2023-05-06,Joselyn Daniely Brea,1994,women,Outdoor
20:50.03,5000m Race Walk,Africa,,TUN,Radès,TUN,2021-06-23,Chahineze Nasri,1996,women,Outdoor
4:48:00,50km Race Walk,Africa,,RSA,Taicang,CHN,2018-05-05,Natalie Le Roux,1982,women,Outdoor
4:04:50,50km Race Walk,Europe,,ITA,Alytus,LTU,2019-05-19,Eleonora Giorgi,1989,women,Outdoor
4:13:56,50km Race Walk,NACAC,,GUA,Guatemala City,GUA,2019-02-24,Mirna Ortiz,1987,women,Outdoor
4:09:33,50km Race Walk,Oceania,,AUS,Taicang,CHN,2018-05-05,Claire Woods,1981,women,Outdoor
4:11:12,50km Race Walk,South America,,ECU,Lima,PER,2019-08-11,Johana Ordóñez,1987,women,Outdoor
1:10,"5km, Road",Africa,,EGY,Stróvolos,CYP,2024-02-18,Maha Shaheen,1982,women,Outdoor
16:24,"5km, Road",Asia,,JPN,Karatsu,JPN,2024-02-11,Shiena Kanamori,2006,women,Outdoor
1:06,"5km, Road",Europe,,CYP,Stróvolos,CYP,2024-02-18,Florentia Michael,1989,women,Outdoor
14:50,"5km, Road",NACAC,,USA,Boston MA,USA,2015-04-18,Molly Huddle,1984,women,Outdoor
14:59,"5km, Road",Oceania,,AUS,London,GBR,2002-09-01,Benita Willis,1979,women,Outdoor
15:39,"5km, Road",South America,,BRA,Albany NY,USA,1992-06-06,Carmen de Oliveira,1965,women,Outdoor
