result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
86.74,,UKR,Stuttgart,FRG,1986-08-30,Yuriy Sedykh,1955.0,Male,Outdoor,AR,HAM,1
82.71,,USA,Eugene OR,USA,2021-06-20,Rudy Winkler,1994.0,Male,Outdoor,AR,HAM,2
79.29,,AUS,Varaždin,CRO,2002-07-06,Stuart Rendell,1972.0,Male,Outdoor,AR,HAM,6
78.63,,BRA,Celje,SLO,2016-06-19,Wagner Domingos,1983.0,Male,Outdoor,AR,HAM,3
2.38,,RSA,Oudtshoorn,RSA,2005-03-05,Jacques Freitag,1982.0,Male,Outdoor,AR,HOC,4
2.43,,QAT,Bruxelles,BEL,2014-09-05,Mutaz Essa Barshim,1991.0,Male,Outdoor,AR,HOC,5
2.42,,SWE,Stockholm/S,SWE,1987-06-30,Patrik Sjöberg,1965.0,Male,Outdoor,AR,HOC,1
2.45,,CUB,Salamanca,ESP,1993-07-27,Javier Sotomayor,1967.0,Male,Outdoor,AR,HOC,2
2.36,,AUS,Melbourne,AUS,1997-03-02,Tim Forsyth,1973.0,Male,Outdoor,AR,HOC,6
2.36,,AUS,Eberstadt,GER,2018-08-26,Brandon Starc,1993.0,Male,Outdoor,AR,HOC,6
2.33,,COL,Pereira,COL,1994-10-17,Gilmar Mayo,1969.0,Male,Outdoor,AR,HOC,3
92.72,,KEN,Beijing,CHN,2015-08-26,Julius Yego,1989.0,Male,Outdoor,AR,SPE,4
91.36,,TPE,Taipei,TPE,2017-08-26,Cheng Chao-Tsun,1993.0,Male,Outdoor,AR,SPE,5
98.48,,CZE,Jena,GER,1996-05-25,Jan Železný,1966.0,Male,Outdoor,AR,SPE,1
93.07,,GRN,Doha,QAT,2022-05-13,Anderson Peters,1997.0,Male,Outdoor,AR,SPE,2
89.02,,AUS,Brisbane,AUS,2008-02-29,Jarrod Bannister,1984.0,Male,Outdoor,AR,SPE,6
84.70,,PAR,San Marcos CA,USA,1999-10-17,Edgar Baumann,1970.0,Male,Outdoor,AR,SPE,3
8.65,1.3,RSA,Potchefstroom,RSA,2017-04-22,Luvo Manyonga,1991.0,Male,Outdoor,AR,WEI,4
8.48,0.6,KSA,Sotteville-lès-Rouen,FRA,2006-07-02,Mohamed Salman Al-Khuwalidi,1981.0,Male,Outdoor,AR,WEI,5
8.86,1.9,ARM,Tsakhkadzor,URS,1987-05-22,Robert Emmiyan,1965.0,Male,Outdoor,AR,WEI,1
8.95,0.3,USA,Tokyo,JPN,1991-08-30,Mike Powell,1963.0,Male,Outdoor,AR,WEI,2
8.54,1.7,AUS,Stockholm/S,SWE,2011-07-29,Mitchell Watt,1988.0,Male,Outdoor,AR,WEI,6
8.73,1.2,PAN,Hengelo,NED,2008-05-24,Irving Saladino,1983.0,Male,Outdoor,AR,WEI,3
3:43.13,,MAR,Roma,ITA,1999-07-07,Hicham El Guerrouj,1974.0,Male,Outdoor,AR,MEI,4
3:47.97,,QAT,Oslo,NOR,2005-07-29,Dahame Najem Bashir,1979.0,Male,Outdoor,AR,MEI,5
3:43.73,,NOR,Eugene OR,USA,2023-09-16,Jakob Ingebrigtsen,2000.0,Male,Outdoor,AR,MEI,1
3:43.97,,USA,Eugene OR,USA,2023-09-16,Yared Nuguse,1999.0,Male,Outdoor,AR,MEI,2
3:47.48,,AUS,Oslo,NOR,2022-06-16,Olli Hoare,1997.0,Male,Outdoor,AR,MEI,6
3:51.05,,BRA,Oslo,NOR,2005-07-29,Hudson de Souza,1977.0,Male,Outdoor,AR,MEI,3
6.03,,RSA,Köln,GER,1995-08-18,Okkert Brits,1973.0,Male,Outdoor,AR,STA,4
6.00,,PHI,Budapest,HUN,2023-08-26,Ernest John Obiena,1995.0,Male,Outdoor,AR,STA,5
6.23,,SWE,Eugene OR,USA,2023-09-17,Armand Duplantis,1999.0,Male,Outdoor,AR,STA,1
6.07,,USA,Nashville TN,USA,2023-06-02,KC Lightfoot,1999.0,Male,Outdoor,AR,STA,2
6.03,,BRA,Río de Janeiro,BRA,2016-08-15,Thiago Braz,1993.0,Male,Outdoor,AR,STA,3
21.97,,RSA,Eugene OR,USA,2001-06-02,Janus Robberts,1979.0,Male,Outdoor,AR,KUG,4
21.77,,IND,Bhubaneshwar,IND,2023-06-19,Tajinderpal Singh,1994.0,Male,Outdoor,AR,KUG,5
23.06,,GER,Haniá,GRE,1988-05-22,Ulf Timmermann,1962.0,Male,Outdoor,AR,KUG,1
