result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
15.36,Triple Jump,Europe,,RUS,Budapest,HUN,2004-03-06,Tatyana Lebedeva,1976,women,Indoor
15.12,Triple Jump,NACAC,,USA,Albuquerque NM,USA,2023-03-11,Jasmine Moore,2001,women,Indoor
13.31,Triple Jump,Oceania,,AUS,Budapest,HUN,2004-03-05,Nicole Mladenis,1975,women,Indoor
15.74,Triple Jump,South America,,VEN,Beograd,SRB,2022-03-20,Yulimar Rojas,1995,women,Indoor
9:09.70,Two Miles,NACAC,,USA,New York NY,USA,2024-02-11,Alicia Monson,1998,women,Indoor
24.90,Weight Throw,Africa,,NGR,Nashville TN,USA,2024-02-09,Sade Olatoye,1997,women,Indoor
18.44,Weight Throw,Asia,,USA,Fayetteville AR,USA,2002-03-08,Serene Ross,1977,women,Indoor
25.73,Weight Throw,NACAC,,USA,Albuquerque NM,USA,2024-02-17,Erin Reese,1995,women,Indoor
22.40,Weight Throw,Oceania,,ASA,New York NY,USA,1999-02-05,Lisa Misipeka,1975,women,Indoor
24.04,Weight Throw,South America,,ARG,Fayetteville AR,USA,2006-03-10,Jenny Dahlgren,1984,women,Indoor
