result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,type
1:40.91,800m,Africa,,KEN,London,GBR,2012-08-09,David Rudisha,1988,Male,Outdoor,AR
1:42.79,800m,Asia,,BRN,Monaco,MON,2008-07-29,Youssef Saad Kamel,1981,Male,Outdoor,AR
1:41.11,800m,Europe,,DEN,Köln,GER,1997-08-24,Wilson Kipketer,1972,Male,Outdoor,AR
1:42.34,800m,NACAC,,USA,Doha,QAT,2019-10-01,Donavan Brazier,1997,Male,Outdoor,AR
1:43.99,800m,Oceania,,AUS,Decines Charpieu,FRA,2023-07-08,Joseph Deng,1998,Male,Outdoor,AR
1:41.77,800m,South America,,BRA,Köln,GER,1984-08-26,Joaquim Cruz,1963,Male,Outdoor,AR
8521,Decathlon,Africa,,ALG,Río de Janeiro,BRA,2016-08-18,Larbi Bouraada,1988,Male,Outdoor,AR
8725,Decathlon,Asia,,KAZ,Athína,GRE,2004-08-24,Dmitriy Karpov,1981,Male,Outdoor,AR
9126,Decathlon,Europe,,FRA,Talence,FRA,2018-09-16,Kevin Mayer,1992,Male,Outdoor,AR
9045,Decathlon,NACAC,,USA,Beijing,CHN,2015-08-29,Ashton Eaton,1988,Male,Outdoor,AR
8649,Decathlon,Oceania,,AUS,Tokyo,JPN,2021-08-05,Ashley Moloney,2000,Male,Outdoor,AR
8393,Decathlon,South America,,BRA,São Paulo,BRA,2013-06-08,Carlos Chinin,1985,Male,Outdoor,AR
70.32,Discus Throw,Africa,,RSA,Salôn-de-Provence,FRA,2002-05-26,Frantz Kruger,1975,Male,Outdoor,AR
69.32,Discus Throw,Asia,,IRI,Tallinn,EST,2008-06-03,Ehsan Hadadi,1985,Male,Outdoor,AR
74.08,Discus Throw,Europe,,GER,Neubrandenburg,GER,1986-06-06,Jürgen Schult,1960,Male,Outdoor,AR
71.32,Discus Throw,NACAC,,USA,Eugene,USA,1983-06-04,Ben Plucknett,1954,Male,Outdoor,AR
70.42,Discus Throw,Oceania,,SAM,Ramona,USA,2023-04-16,Alex Rose,1991,Male,Outdoor,AR
70.29,Discus Throw,South America,,COL,Vila Nova Cerveira,POR,2020-07-22,Mauricio Ortega,1994,Male,Outdoor,AR
57:31,Half Marathon,Africa,,UGA,Lisboa,POR,2021-11-21,Jacob Kiplimo,2000,Male,Outdoor,AR
58:40,Half Marathon,Asia,,BRN,København,DEN,2017-09-17,Abraham Cheroben,1992,Male,Outdoor,AR
59:13,Half Marathon,Europe,,SUI,Ras Al Khaimah,UAE,2019-02-08,Julien Wanders,1996,Male,Outdoor,AR
59:43,Half Marathon,NACAC,,USA,Houston,USA,2007-01-14,Ryan Hall,1982,Male,Outdoor,AR
59:47,Half Marathon,Oceania,,NZL,Marugame,JPN,2015-02-01,Zane Robertson,1989,Male,Outdoor,AR
59:33,Half Marathon,South America,,BRA,Udine,ITA,2007-10-14,Marílson dos Santos,1977,Male,Outdoor,AR
81.27,Hammer Throw,Africa,,EGY,Cairo,EGY,2014-03-21,Mostafa Hicham Al-Gamal,1988,Male,Outdoor,AR
84.86,Hammer Throw,Asia,,JPN,Praha,CZE,2003-06-29,Koji Murofushi,1974,Male,Outdoor,AR
86.74,Hammer Throw,Europe,,UKR,Stuttgart,FRG,1986-08-30,Yuriy Sedykh,1955,Male,Outdoor,AR
82.71,Hammer Throw,NACAC,,USA,Eugene,USA,2021-06-20,Rudy Winkler,1994,Male,Outdoor,AR
79.29,Hammer Throw,Oceania,,AUS,Varaždin,CRO,2002-07-06,Stuart Rendell,1972,Male,Outdoor,AR
78.63,Hammer Throw,South America,,BRA,Celje,SLO,2016-06-19,Wagner Domingos,1983,Male,Outdoor,AR
2.38,High Jump,Africa,,RSA,Oudtshoorn,RSA,2005-03-05,Jacques Freitag,1982,Male,Outdoor,AR
2.43,High Jump,Asia,,QAT,Bruxelles,BEL,2014-09-05,Mutaz Essa Barshim,1991,Male,Outdoor,AR
2.42,High Jump,Europe,,SWE,Stockholm,SWE,1987-06-30,Patrik Sjöberg,1965,Male,Outdoor,AR
2.45,High Jump,NACAC,,CUB,Salamanca,ESP,1993-07-27,Javier Sotomayor,1967,Male,Outdoor,AR
2.36,High Jump,Oceania,,AUS,Melbourne,AUS,1997-03-02,Tim Forsyth,1973,Male,Outdoor,AR
2.36,High Jump,Oceania,,AUS,Eberstadt,GER,2018-08-26,Brandon Starc,1993,Male,Outdoor,AR
2.33,High Jump,South America,,COL,Pereira,COL,1994-10-17,Gilmar Mayo,1969,Male,Outdoor,AR
92.72,Javelin Throw,Africa,,KEN,Beijing,CHN,2015-08-26,Julius Yego,1989,Male,Outdoor,AR
91.36,Javelin Throw,Asia,,TPE,Taipei,TPE,2017-08-26,Cheng Chao-Tsun,1993,Male,Outdoor,AR
98.48,Javelin Throw,Europe,,CZE,Jena,GER,1996-05-25,Jan Železný,1966,Male,Outdoor,AR
93.07,Javelin Throw,NACAC,,GRN,Doha,QAT,2022-05-13,Anderson Peters,1997,Male,Outdoor,AR
89.02,Javelin Throw,Oceania,,AUS,Brisbane,AUS,2008-02-29,Jarrod Bannister,1984,Male,Outdoor,AR
84.70,Javelin Throw,South America,,PAR,San Marcos,USA,1999-10-17,Edgar Baumann,1970,Male,Outdoor,AR
8.65,Long Jump,Africa,1.3,RSA,Potchefstroom,RSA,2017-04-22,Luvo Manyonga,1991,Male,Outdoor,AR
8.48,Long Jump,Asia,0.6,KSA,Sotteville-lès-Rouen,FRA,2006-07-02,Mohamed Salman Al-Khuwalidi,1981,Male,Outdoor,AR
8.86,Long Jump,Europe,1.9,ARM,Tsakhkadzor,URS,1987-05-22,Robert Emmiyan,1965,Male,Outdoor,AR
8.95,Long Jump,NACAC,0.3,USA,Tokyo,JPN,1991-08-30,Mike Powell,1963,Male,Outdoor,AR
8.54,Long Jump,Oceania,1.7,AUS,Stockholm,SWE,2011-07-29,Mitchell Watt,1988,Male,Outdoor,AR
8.73,Long Jump,South America,1.2,PAN,Hengelo,NED,2008-05-24,Irving Saladino,1983,Male,Outdoor,AR
2:01:09,Marathon,Africa,,KEN,Berlin,GER,2022-09-25,Eliud Kipchoge,1984,Male,Outdoor,AR
2:04:43,Marathon,Asia,,BRN,Valencia,ESP,2018-12-02,El Hassan El Abbassi,1984,Male,Outdoor,AR
2:04:16,Marathon,Europe,,TUR,Valencia,ESP,2019-12-01,Kaan Kigen Özbilen,1986,Male,Outdoor,AR
2:05:38,Marathon,NACAC,,USA,London,GBR,2002-04-14,Khalid Khannouchi,1971,Male,Outdoor,AR
2:04:51,Marathon,South America,,BRA,Seoul,KOR,2022-04-17,Daniel do Nascimento,1998,Male,Outdoor,AR
21285,One Hour,Africa,,ETH,Ostrava,CZE,2007-06-27,Haile Gebrselassie,1973,Male,Outdoor,AR
20509,One Hour,Asia,,JPN,Tokyo,JPN,1996-10-20,Seiji Kushibe,1971,Male,Outdoor,AR
