result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
59:47,Half Marathon,Oceania,,NZL,Marugame,JPN,2015-02-01,Zane Robertson,1989,men,Outdoor
59:33,Half Marathon,South America,,BRA,Udine,ITA,2007-10-14,Marílson dos Santos,1977,men,Outdoor
81.27,Hammer Throw,Africa,,EGY,Cairo,EGY,2014-03-21,Mostafa Hicham Al-Gamal,1988,men,Outdoor
84.86,Hammer Throw,Asia,,JPN,Praha,CZE,2003-06-29,Koji Murofushi,1974,men,Outdoor
86.74,Hammer Throw,Europe,,UKR,Stuttgart,FRG,1986-08-30,Yuriy Sedykh,1955,men,Outdoor
82.71,Hammer Throw,NACAC,,USA,Eugene OR,USA,2021-06-20,Rudy Winkler,1994,men,Outdoor
79.29,Hammer Throw,Oceania,,AUS,Varaždin,CRO,2002-07-06,Stuart Rendell,1972,men,Outdoor
78.63,Hammer Throw,South America,,BRA,Celje,SLO,2016-06-19,Wagner Domingos,1983,men,Outdoor
2.38,High Jump,Africa,,RSA,Oudtshoorn,RSA,2005-03-05,Jacques Freitag,1982,men,Outdoor
2.43,High Jump,Asia,,QAT,Bruxelles,BEL,2014-09-05,Mutaz Essa Barshim,1991,men,Outdoor
2.42,High Jump,Europe,,SWE,Stockholm/S,SWE,1987-06-30,Patrik Sjöberg,1965,men,Outdoor
2.45,High Jump,NACAC,,CUB,Salamanca,ESP,1993-07-27,Javier Sotomayor,1967,men,Outdoor
2.36,High Jump,Oceania,,AUS,Melbourne,AUS,1997-03-02,Tim Forsyth,1973,men,Outdoor
2.36,High Jump,Oceania,,AUS,Eberstadt,GER,2018-08-26,Brandon Starc,1993,men,Outdoor
2.33,High Jump,South America,,COL,Pereira,COL,1994-10-17,Gilmar Mayo,1969,men,Outdoor
92.72,Javelin Throw,Africa,,KEN,Beijing,CHN,2015-08-26,Julius Yego,1989,men,Outdoor
91.36,Javelin Throw,Asia,,TPE,Taipei,TPE,2017-08-26,Cheng Chao-Tsun,1993,men,Outdoor
98.48,Javelin Throw,Europe,,CZE,Jena,GER,1996-05-25,Jan Železný,1966,men,Outdoor
93.07,Javelin Throw,NACAC,,GRN,Doha,QAT,2022-05-13,Anderson Peters,1997,men,Outdoor
89.02,Javelin Throw,Oceania,,AUS,Brisbane,AUS,2008-02-29,Jarrod Bannister,1984,men,Outdoor
84.70,Javelin Throw,South America,,PAR,San Marcos CA,USA,1999-10-17,Edgar Baumann,1970,men,Outdoor
8.65,Long Jump,Africa,+1.3,RSA,Potchefstroom,RSA,2017-04-22,Luvo Manyonga,1991,men,Outdoor
8.48,Long Jump,Asia,+0.6,KSA,Sotteville-lès-Rouen,FRA,2006-07-02,Mohamed Salman Al-Khuwalidi,1981,men,Outdoor
8.86,Long Jump,Europe,+1.9,ARM,Tsakhkadzor,URS,1987-05-22,Robert Emmiyan,1965,men,Outdoor
8.95,Long Jump,NACAC,+0.3,USA,Tokyo,JPN,1991-08-30,Mike Powell,1963,men,Outdoor
8.54,Long Jump,Oceania,+1.7,AUS,Stockholm/S,SWE,2011-07-29,Mitchell Watt,1988,men,Outdoor
8.73,Long Jump,South America,+1.2,PAN,Hengelo,NED,2008-05-24,Irving Saladino,1983,men,Outdoor
2:01:09,Marathon,Africa,,KEN,Berlin,GER,2022-09-25,Eliud Kipchoge,1984,men,Outdoor
2:00:35,Marathon,Africa,,KEN,Chicago IL,USA,2023-10-08,Kelvin Kiptum,1999,men,Outdoor
2:04:43,Marathon,Asia,,BRN,Valencia,ESP,2018-12-02,El Hassan El Abbassi,1984,men,Outdoor
2:04:16,Marathon,Europe,,TUR,Valencia,ESP,2019-12-01,Kaan Kigen Özbilen,1986,men,Outdoor
2:03:36,Marathon,Europe,,BEL,Rotterdam,NED,2021-10-24,Bashir Abdi,1989,men,Outdoor
2:03:47,Marathon,Europe,,BEL,Rotterdam,NED,2023-04-16,Bashir Abdi,1989,men,Outdoor
2:03:47,Marathon,Europe,,FRA,Sevilla,ESP,2024-02-18,Morhad Amdouni,1988,men,Outdoor
2:05:38,Marathon,NACAC,,USA,London,GBR,2002-04-14,Khalid Khannouchi,1971,men,Outdoor
2:04:51,Marathon,South America,,BRA,Seoul,KOR,2022-04-17,Daniel do Nascimento,1998,men,Outdoor
21285,One Hour,Africa,,ETH,Ostrava,CZE,2007-06-27,Haile Gebrselassie,1973,men,Outdoor
20509,One Hour,Asia,,JPN,Tokyo,JPN,1996-10-20,Seiji Kushibe,1971,men,Outdoor
21330,One Hour,Europe,,GBR,Bruxelles,BEL,2020-09-04,Mo Farah,1983,men,Outdoor
3:43.13,One Mile,Africa,,MAR,Roma,ITA,1999-07-07,Hicham El Guerrouj,1974,men,Outdoor
3:47.97,One Mile,Asia,,QAT,Oslo,NOR,2005-07-29,Dahame Najem Bashir,1979,men,Outdoor
3:43.73,One Mile,Europe,,NOR,Eugene OR,USA,2023-09-16,Jakob Ingebrigtsen,2000,men,Outdoor
3:43.97,One Mile,NACAC,,USA,Eugene OR,USA,2023-09-16,Yared Nuguse,1999,men,Outdoor
3:47.48,One Mile,Oceania,,AUS,Oslo,NOR,2022-06-16,Olli Hoare,1997,men,Outdoor
3:51.05,One Mile,South America,,BRA,Oslo,NOR,2005-07-29,Hudson de Souza,1977,men,Outdoor
6.03,Pole Vault,Africa,,RSA,Köln,GER,1995-08-18,Okkert Brits,1973,men,Outdoor
6.00,Pole Vault,Asia,,PHI,Budapest,HUN,2023-08-26,Ernest John Obiena,1995,men,Outdoor
6.23,Pole Vault,Europe,,SWE,Eugene OR,USA,2023-09-17,Armand Duplantis,1999,men,Outdoor
