code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AL;2;800;M;1:44.46;;LSU Bernie Moore Stadium;USA;Outdoor;2024-03-30;;Sam;Whitmarsh;USA;;Male
AL;2;WEI;M;8.4;;The Track at New Balance;USA;Indoor;2024-03-08;;Wayne;Pinnock;JAM;2000;Male
AL;2;200;M;19.88;1.6;Percy Beard Track;USA;Outdoor;2024-04-12;;Courtney;Lindsey;USA;1998;Male
AL;2;MEI;W;4:16.41;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Elle;St. Pierre;USA;1995;Female
AL;2;4×8;M;7:26.90;;Gately Indoor TF Center;USA;Indoor;2024-02-24;;;;USA;;Male
AL;2;60M;W;6.98;;Glasgow Arena;GBR;Indoor;2024-03-02;;Julien;Alfred;LCA;2001;Female
AL;2;1K5;W;4:00.34;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Elle;St. Pierre;USA;1995;Female
AL;2;10H;W;12.44;-0.8;Percy Beard Track;USA;Outdoor;2024-04-13;;Nia;Ali;USA;1988;Female
AL;2;100;M;10.01;1.7;Percy Beard Track;USA;Outdoor;2024-04-13;;Noah;Lyles;USA;1997;Male
AL;2;100;M;10.01;1.7;Percy Beard Track;USA;Outdoor;2024-04-13;;Kenneth;Bednarek;USA;1998;Male
AL;2;300;M;31.99;;UMiami Cobb Stadium;USA;Outdoor;2024-03-15;;Steven;Gardiner;BAH;1995;Male
AL;2;600;M;1:14.03;;Convention Center;USA;Indoor;2024-02-09;;Brandon;Miller;USA;2003;Male
AL;2;800;W;1:58.27;;Dempsey Indoor;USA;Indoor;2024-02-24;;Nia;Akins;USA;1998;Female
AL;2;10G;W;46:56.65;;Pista de Atletismo del Centro Deportivo Benito Juárez;MEX;Outdoor;2024-03-23;;Yadira;Franco;MEX;2001;Female
AL;2;5G;M;23:41.09;;Pista de Atletismo del Centro Deportivo Benito Juárez;MEX;Outdoor;2024-03-24;;Luis;Antonio Vicente;MEX;;Male
AL;2;60H;M;7.27;;Convention Center;USA;Indoor;2024-02-16;;Grant;Holloway;USA;1997;Male
AL;2;2K0;W;6:29.44;;Pista de Atletismo del Centro Deportivo Benito Juárez;MEX;Outdoor;2024-03-22;;Kenya;Cuahutle;MEX;;Female
AL;2;DIS;M;69.67;;Millican Field at Throw Town;USA;Outdoor;2024-04-06;;Ralford;Mullings;JAM;2002;Male
AL;2;KUG;W;20.22;;Glasgow Arena;GBR;Indoor;2024-03-01;;Sarah;Mitton;CAN;1996;Female
AL;2;3K0;W;8:20.87;;Glasgow Arena;GBR;Indoor;2024-03-02;;Elle;St. Pierre;USA;1995;Female
AL;2;2KH;M;5:37.52;;Terry Fox Field - SFU;CAN;Outdoor;2024-04-06;;John;Gay;CAN;1996;Male
AL;2;10K;W;30:33.82;;JSerra Catholic HS;USA;Outdoor;2024-03-16;;Weini;Kelati Frezghi;USA;1996;Female
AL;2;400;M;44.49;;Randal Tyson Indoor Center;USA;Indoor;2024-02-24;;Christopher;Morales-Williams;CAN;2004;Male
AL;2;50M;M;5.76;;Field House;CAN;Indoor;2024-01-26;;JaVaughn;Moore;USA;2000;Male
AL;2;SPE;M;83.77;;Mike A. Myers Stadium;USA;Outdoor;2024-03-29;;Jordan;Davis;USA;;Male
AL;2;60M;M;6.41;;Glasgow Arena;GBR;Indoor;2024-03-01;;Christian;Coleman;USA;1996;Male
AL;2;STA;M;6.0;;Convention Center;USA;Indoor;2024-02-16;;Christopher;Nilsen;USA;1998;Male
AL;2;10G;M;38:25.42;;AIS Athletics Track;AUS;Outdoor;2024-01-28;;Evan;Dunfee;CAN;1990;Male
AL;2;WEI;W;7.18;;Convention Center;USA;Indoor;2024-02-16;;Tara;Davis-Woodhall;USA;1999;Female
AL;2;200;W;22.08;1.2;Mike A. Myers Stadium;USA;Outdoor;2024-03-30;;Gabrielle;Thomas;USA;1996;Female
AL;2;HAM;W;76.57;;Demirjian Park;USA;Outdoor;2024-04-13;;DeAnna;Price;USA;1993;Female
AL;2;600;W;1:23.80;;Ansin Sports Complex;USA;Outdoor;2024-04-06;;Shafiqua;Maloney;VIN;1999;Female
AL;2;5G;W;23:48.92;;Rashpal Dhillon Oval;CAN;Outdoor;2024-03-23;;Olivia;Lundman;CAN;2003;Female
AL;2;4×4;X;3:14.20;;Centro Deportivo Olímpico Mexicano;MEX;Outdoor;2024-04-07;;;;MEX;;Mixed
AL;2;5K0;M;12:51.84;;Boston Univ. Track & Tennis Center;USA;Indoor;2024-02-16;;Grant;Fisher;USA;1997;Male
AL;0;4×4;M;3:00.80;;LSU Bernie Moore Stadium;USA;Outdoor;2024-03-30;;;;INT;;Male
AL;2;3KH;W;9:26.55;;Cougar Athletic Stadium;USA;Outdoor;2024-04-11;;Lexy;Halladay;USA;2001;Female
AL;2;HOC;W;2.0;;Randal Tyson Indoor Center;USA;Indoor;2024-02-24;;Lamara;Distin;JAM;2000;Female
AL;2;HOC;W;2.0;;The Track at New Balance;USA;Indoor;2024-03-09;;Rachel;Glenn;USA;2002;Female
AL;2;DRE;M;17.09;2.0;Mike A. Myers Stadium;USA;Outdoor;2024-03-30;;O'Brien;Wasome;JAM;1997;Male
AL;2;2K0;M;5:39.80;;Pista de Atletismo del Centro Deportivo Benito Juárez;MEX;Outdoor;2024-03-23;;Zarek;Elias Garcia;MEX;;Male
AL;2;3G;M;11:56.06;;Convention Center;USA;Indoor;2024-02-16;;Nick;Christie;USA;1991;Male
AL;2;STA;W;4.83;;Maison des Sports;FRA;Indoor;2024-02-22;;Alysha;Newman;CAN;1994;Female
AL;2;STA;W;4.83;;Maison des Sports;FRA;Indoor;2024-02-22;;Bridget;Williams;USA;1996;Female
AL;2;5K0;W;14:46.51;;Boston Univ. Track & Tennis Center;USA;Indoor;2024-01-27;;Josette;Andrews;USA;1995;Female
AL;2;SPE;W;63.9;;Pista La Salobreja;ESP;Outdoor;2024-02-24;;Yulenmis;Aguilar;CUB;1996;Female
AL;2;4×1;W;41.94;;Percy Beard Track;USA;Outdoor;2024-04-13;;;;USA;;Female
AL;2;HAM;M;79.03;;Millican Field at Throw Town;USA;Outdoor;2024-04-14;;Daniel;Haugh;USA;1995;Male
AL;2;40H;M;47.95;;Percy Beard Track;USA;Outdoor;2024-04-12;;Chris;Robinson;USA;2001;Male
AL;3;40H;W;56.20;;CNDA;BRA;Outdoor;2024-04-07;;Chayenne;Da Silva;BRA;2000;Female
AL;3;3KH;M;8:29.79;;Cougar Athletic Stadium;USA;Outdoor;2024-04-11;;Carlos;San Martín;COL;1993;Male
AL;3;60H;W;8.07;;Bob Devaney Sports Center;USA;Indoor;2024-02-03;;Yoveinny;Mota;VEN;2000;Female
AL;3;100;W;11.37;0.4;COTP Stadium;BRA;Outdoor;2024-03-02;;Gabriela;Aline Grunow;BRA;1998;Female
AL;3;DIS;W;62.76;;Pista de Atletismo Justo Román;ARG;Outdoor;2024-04-10;;Izabela;Da Silva;BRA;1995;Female
AL;3;2KH;W;6:18.97;;Pista de Atletismo Justo Román;ARG;Outdoor;2024-04-10;;Belén;Casetta;ARG;1994;Female
AL;3;400;W;51.72;;SPIRE Institute Indoor Track & Field Facility;USA;Indoor;2024-02-24;;Kenisha;Phillips;GUY;2001;Female
AL;3;KUG;M;21.11;;Glasgow Arena;GBR;Indoor;2024-03-01;;Darlan;Romani;BRA;1991;Male
AL;3;HOC;M;2.21;;Gobierno Autónomo Municipal de Cochabamba;BOL;Indoor;2024-01-28;;Fernando;Ferreira;BRA;1994;Male
AL;3;MEI;M;4:10.15;;National Indoor Arena;IRL;Indoor;2024-02-07;;Juan;Peña;CHI;1991;Male
