code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
WL;;3KH;MJU20;8:20.05;;Nyayo National Stadium;KEN;Outdoor;2024-05-22;;Edmund;Serem;KEN;2007;Male
WL;;11H;MJU20;13.56;0.5;Florida State University - Mike Long Track;USA;Outdoor;2024-03-22;;Andre;Korbmacher;USA;2005;Male
WL;;10K;W;28:54.14;;Hayward Field;USA;Outdoor;2024-05-25;;Beatrice;Chebet;KEN;2000;Female
WL;;1K5;M;3:29.74;;Bislett Stadion;NOR;Outdoor;2024-05-30;;Jakob;Ingebrigtsen;NOR;2000;Male
WL;;3G;WJU20;12:39.58;;Stadium Miramas Métropole;FRA;Indoor;2024-03-02;;Chloe;Le Roch;FRA;2007;Female
WL;;10K;WJU20;32:01.21;;Parliament Hill Fields Athletics Track;GBR;Outdoor;2024-05-18;;Mebrat;Gidey;ETH;2005;Female
WL;;800;MJU20;1:45.41;;SA Athletic Stadium;AUS;Outdoor;2024-02-10;;Peyton;Craig;AUS;2005;Male
WL;;60H;W;7.65;;Glasgow Arena;GBR;Indoor;2024-03-03;;Devynne;Charlton;BAH;1995;Female
WL;;400;MJU20;44.53;;Un. of Kentucky Outdoor Track Facility;USA;Outdoor;2024-05-24;;Samuel;Ogazi;NGR;2006;Male
WL;;100;M;9.82;0.9;National Stadium;JAM;Outdoor;2024-06-01;;Oblique;Seville;JAM;2001;Male
WL;;HAM;MJU20;70.63;;Centro Nacional de Lançamentos;POR;Outdoor;2024-03-09;;Iosif;Kesidis;CYP;2005;Male
WL;;4×8;M;7:13.98;;Franklin Field;USA;Outdoor;2024-04-27;;;;INT;;Male
WL;;DIS;M;74.35;;Millican Field at Throw Town;USA;Outdoor;2024-04-14;;Mykolas;Alekna;LTU;2002;Male
WL;;400;WJU20;50.57;;Percy Beard Track;USA;Outdoor;2024-05-10;;Ella;Onojuvwevwo;NGR;2005;Female
WL;;5K0;WJU20;14:23.71;;Hayward Field;USA;Outdoor;2024-05-25;;Birke;Haylom;ETH;2006;Female
WL;;HOC;W;2.04;;Lausitz-Arena;GER;Indoor;2024-01-31;;Yaroslava;Mahuchikh;UKR;2001;Female
WL;;200;W;22.03;0.6;Percy Beard Track;USA;Outdoor;2024-05-11;;Mckenzie;Long;USA;2000;Female
WL;;4×8;W;8:17.28;;Franklin Field;USA;Outdoor;2024-04-27;;;;INT;;Female
