result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
54.08,SSD,Maebashi,JPN,2020-07-26,Joseph Akoon,2002,Male,400H,NR,Outdoor
53.69,STP,Lisboa,POR,2001-07-21,Arlindo Leocadio Pinheiro,,Male,400H,NR,Outdoor
49.82,SUD,Castellón,ESP,2017-07-04,Mohamed Adam Shoaib,1995,Male,400H,NR,Outdoor
48.13,SUI,Sevilla,ESP,1999-08-27,Marcel Schelbert,1976,Male,400H,NR,Outdoor
48.94,SVK,Praha,TCH,1989-06-21,Jozef Kucej,1965,Male,400H,NR,Outdoor
47.98,SWE,Atlanta,USA,1996-08-01,Sven Nylander,1962,Male,400H,NR,Outdoor
57.04,SWZ,Manzini,SWZ,2019-05-18,Cedusizi Vilakati,,Male,400H,NR,Outdoor
48.87,SYR,Sydney,AUS,1999-02-20,Ziad Abou Hamed,1970,Male,400H,NR,Outdoor
51.20,TAN,Doha,QAT,1985-08-12,Morris Okinda,1963,Male,400H,NR,Outdoor
52.02,TGA,Sacramento,USA,1996-05-05,Paeaki Kokohu,1966,Male,400H,NR,Outdoor
49.76,THA,Chiangmai,THA,1995-12-12,Chanond Keanchan,1967,Male,400H,NR,Outdoor
48.98,TJK,Tashkent,URS,1986-09-18,Nikolay Ilchenko,1963,Male,400H,NR,Outdoor
51.89,TKM,Tashkent,URS,1986-09-18,Oleg Podmaryov,,Male,400H,NR,Outdoor
59.20,TKS,Spanish Town,JAM,2012-02-04,Angelo Garland,1994,Male,400H,NR,Outdoor
53.27,TOG,Bamako,MLI,2013-05-18,Lankantien Lamboni,1990,Male,400H,NR,Outdoor
48.62,TPE,Chengdu,CHN,2023-08-04,Peng Ming-Yang,1998,Male,400H,NR,Outdoor
47.69,TTO,Moskva,RUS,2013-08-15,Jehue Gordon,1991,Male,400H,NR,Outdoor
49.13,TUN,Tarragona,ESP,2018-06-29,Zied Azizi,1991,Male,400H,NR,Outdoor
47.81,TUR,Berlin,GER,2018-08-09,Yasmani Copello,1987,Male,400H,NR,Outdoor
49.66,UAE,Qatif,KSA,2009-04-30,Ali Obaid Shirook,1979,Male,400H,NR,Outdoor
47.82,UGA,München,FRG,1972-09-02,John Akii-Bua,1949,Male,400H,NR,Outdoor
48.06,UKR,Helsinki,FIN,1994-08-10,Oleg Tverdokhleb,1969,Male,400H,NR,Outdoor
48.65,URU,São Paulo,BRA,2014-08-02,Andrés Silva,1986,Male,400H,NR,Outdoor
46.17,USA,Tokyo,JPN,2021-08-03,Rai Benjamin,1997,Male,400H,NR,Outdoor
48.78,UZB,Moskva,URS,1983-06-20,Aleksandr Kharlov,1958,Male,400H,NR,Outdoor
52.94,VAN,Apia,SAM,2011-06-21,David Benjimin,1977,Male,400H,NR,Outdoor
49.18,VEN,Caracas,VEN,1991-07-14,Antonio Smith,1967,Male,400H,NR,Outdoor
50.05,VIE,Kuala Lumpur,MAS,2017-08-22,Quach Cong Lich,1993,Male,400H,NR,Outdoor
51.70,VIN,Bloomington,USA,2003-07-19,Fitz-Allen Crick,1971,Male,400H,NR,Outdoor
53.34,YEM,Manama,BRN,2016-04-16,Nasim Ahmed Mansour,1998,Male,400H,NR,Outdoor
47.10,ZAM,Zürich,SUI,1991-08-07,Samuel Matete,1968,Male,400H,NR,Outdoor
48.05,ZIM,Paris,FRA,1998-07-29,Ken Harnden,1973,Male,400H,NR,Outdoor
