result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
3:54.77,RUS,Moskva,RUS,2019-02-03,Vladimir Nikitin,1992,Male,Mile,NR,Indoor
4:26.04,SMR,Columbus,USA,2018-01-27,Joseph William Guerra,1990,Male,Mile,NR,Indoor
3:55.90,SRB,Ostrava,CZE,2023-02-02,Elzan Bibić,1999,Male,Mile,NR,Indoor
3:58.79,SUI,Valencia,ESP,1987-03-12,Pierre Délèze,1958,Male,Mile,NR,Indoor
4:03.2,SVK,Berlin,FRG,1973-02-03,Ivan Kovác,1948,Male,Mile,NR,Indoor
3:57.03,SWE,Val-de-Reuil,FRA,2024-01-28,Jonathan Grahn,2004,Male,Mile,NR,Indoor
3:57.36,THA,Boston,USA,2020-02-14,Kieran Tuntivate,1997,Male,Mile,NR,Indoor
4:04.35,TTO,Indianapolis,USA,1999-02-06,Sheldon Monderoy,1972,Male,Mile,NR,Indoor
4:04.24,TUR,Istanbul,TUR,2024-02-24,Salih Teksöz,1994,Male,Mile,NR,Indoor
3:57.41,UGA,Fairfax,USA,1997-02-22,Julius Achon,1976,Male,Mile,NR,Indoor
3:47.38,USA,New York,USA,2023-02-11,Yared Nuguse,1999,Male,Mile,NR,Indoor
3:57.82,ZIM,Fairfax,USA,1997-02-22,Passmore Furusa,1970,Male,Mile,NR,Indoor
