result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
52.40,SEN,Dakar,SEN,2006-07-30,Adama Camara,,Male,HT,NR,Outdoor
50.75,SEY,Bambous,MRI,2019-07-23,Dean William,1995,Male,HT,NR,Outdoor
58.20,SGP,Halle,GER,1999-04-07,James Wong Tuck Yim,1969,Male,HT,NR,Outdoor
48.81,SKN,Lamoni,USA,2004-05-08,Elvis Williams,1979,Male,HT,NR,Outdoor
31.66,SLE,Freetown,SLE,1980-12-26,W.Y. Kanu,,Male,HT,NR,Outdoor
82.58,SLO,Celje,SLO,2009-09-02,Primož Kozmus,1979,Male,HT,NR,Outdoor
38.59,SMR,Majano,ITA,2003-06-29,Massimo Meca,1971,Male,HT,NR,Outdoor
18.31,SOM,Perivale,GBR,2012-05-19,Ahmed Yahye,,Male,HT,NR,Outdoor
67.93,SRB,Ptuj,SLO,2023-05-23,Jovan Stranić,2004,Male,HT,NR,Outdoor
52.53,SRI,Pueblo,USA,2015-05-01,Charith Kapukotuwa,1990,Male,HT,NR,Outdoor
21.90,STP,São Tome,STP,1982-06-19,Constancio Manuel,,Male,HT,NR,Outdoor
16.68,SUD,Nantes,FRA,2019-05-05,Louay Anour Atom,,Male,HT,NR,Outdoor
80.51,SUI,Löffingen,SUI,2003-09-17,Patric Suter,1977,Male,HT,NR,Outdoor
81.81,SVK,Praha,CZE,2003-06-29,Libor Charfreitag,1977,Male,HT,NR,Outdoor
80.14,SWE,Lappeenranta,FIN,1989-07-04,Tore Gustafsson,1962,Male,HT,NR,Outdoor
25.36,SWZ,Harare,ZIM,2001-07-01,Dimsani Fakudze,1976,Male,HT,NR,Outdoor
54.99,SYR,Latakia,SYR,2010-03-07,Saleh Satif,,Male,HT,NR,Outdoor
44.77,TAN,Kampala,UGA,1969-08-16,Joseph Muhaya,,Male,HT,NR,Outdoor
59.78,TGA,Tucson,USA,1985-04-20,Sanitesi Mataele,,Male,HT,NR,Outdoor
68.00,THA,Bangkok,THA,2020-12-13,Kittipong Boonmawan,1996,Male,HT,NR,Outdoor
83.46,TJK,Adler,URS,1990-05-26,Andrey Abduvaliyev,1966,Male,HT,NR,Outdoor
74.01,TKM,Almaty,KAZ,2013-06-16,Mergen Mammedov,1990,Male,HT,NR,Outdoor
48.83,TOG,Baltimore,USA,2013-03-30,Yao Adantor,,Male,HT,NR,Outdoor
69.68,TPE,Taipei,TPE,2002-05-26,Ho Chin-Hsien,1976,Male,HT,NR,Outdoor
55.11,TTO,Baltimore,USA,2015-04-17,Emmanuel Stewart,1989,Male,HT,NR,Outdoor
72.66,TUN,Bambous,MRI,2006-08-12,Saber Souid,1981,Male,HT,NR,Outdoor
81.45,TUR,Istanbul,TUR,2005-06-04,Eşref Apak,1982,Male,HT,NR,Outdoor
65.44,UAE,Dubai,UAE,2017-05-26,Mohammed Omar Al-Khatib,1987,Male,HT,NR,Outdoor
53.72,UGA,Kampala,UGA,1972-07-15,Yovan Ochola,1935,Male,HT,NR,Outdoor
86.74,UKR,Stuttgart,FRG,1986-08-30,Yuriy Sedykh,1955,Male,HT,NR,Outdoor
63.18,URU,Montevideo,URU,1974-05-04,Darwin Piñyerua,,Male,HT,NR,Outdoor
82.71,USA,Eugene,USA,2021-06-20,Rudy Winkler,1994,Male,HT,NR,Outdoor
82.66,UZB,Tula,RUS,1997-07-09,Andrey Abduvaliyev,1966,Male,HT,NR,Outdoor
34.31,VAN,Port Vila,VAN,2017-12-13,Lachlan Kalsau,,Male,HT,NR,Outdoor
68.54,VEN,Arroyo,PUR,2014-02-21,Pedro Múñoz,1982,Male,HT,NR,Outdoor
55.17,VIE,Ho Chi Minh,VIE,2019-09-18,Do Tan Truong,,Male,HT,NR,Outdoor
70.41,VIN,Hammond,USA,2013-04-18,Adonson Shallow,1986,Male,HT,NR,Outdoor
45.45,ZAM,Houston,USA,2018-05-11,Chard Muhwanga,,Male,HT,NR,Outdoor
57.40,ZIM,Harare,ZIM,1996-06-29,Vincent Lambourn,,Male,HT,NR,Outdoor
