result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
14.80,,PLE,Al-Kuwait,KUW,1985-01-05,Khalil Abdulrahman,,Male,TJ,NR,Outdoor
13.68,,PLW,Koror,PLW,1969-07-01,William Mgirakelau,,Male,TJ,NR,Outdoor
15.66,1.1,PNG,Canyon TX,USA,2022-05-15,Peniel Richard,1994.0,Male,TJ,NR,Outdoor
17.53,1.6,POL,Madrid,ESP,1985-06-04,Zdzisław Hoffmann,1959.0,Male,TJ,NR,Outdoor
17.98,0.0,POR,Tokyo,JPN,2021-08-05,Pedro Pablo Pichardo,1993.0,Male,TJ,NR,Outdoor
16.06,,PRK,Pyongyang,PRK,1995-10-26,Cha Gyong-Son,,Male,TJ,NR,Outdoor
17.10,1.4,PUR,Carolina,PUR,2007-03-17,Allen Simms,1982.0,Male,TJ,NR,Outdoor
17.15,1.3,QAT,Doha,QAT,2004-04-20,Ibrahim Mohamed Aboubaker,1982.0,Male,TJ,NR,Outdoor
17.81,1.0,ROU,Lausanne,SUI,2005-07-05,Marian Oprea,1982.0,Male,TJ,NR,Outdoor
17.35,0.2,RSA,Marrakech,MAR,2014-09-14,Godfrey Mokoena,1985.0,Male,TJ,NR,Outdoor
15.02,,RWA,Montpellier,FRA,1987-05-14,Albert Sézikéyé,,Male,TJ,NR,Outdoor
15.12,,SAM,Apia,SAM,1999-09-15,Fagamanu Sofai,1978.0,Male,TJ,NR,Outdoor
17.07,1.7,SEN,Addis Ababa,ETH,2008-05-03,Ndiss Kaba Badji,1983.0,Male,TJ,NR,Outdoor
16.80,0.8,SEY,Antananarivo,MAD,1990-08-27,Paul Nioze,1967.0,Male,TJ,NR,Outdoor
16.04,-1.3,SGP,Paroi,MAS,2009-04-26,Stefan Tseng Ke Cheng,1990.0,Male,TJ,NR,Outdoor
16.24,0.0,SKN,Atlanta GA,USA,2000-05-20,Vance Clarke,1975.0,Male,TJ,NR,Outdoor
15.81,,SLE,Fukuoka,JPN,1995-08-29,Osman Cline-Thomas,1972.0,Male,TJ,NR,Outdoor
16.82,1.8,SLO,Ljubljana,SLO,2002-06-01,Boštjan Šimunič,1974.0,Male,TJ,NR,Outdoor
14.71,2.0,SMR,Marsa,MLT,2003-06-03,Federico Gorrieri,1985.0,Male,TJ,NR,Outdoor
14.48,,SOL,Port Moresby,PNG,1969-08-18,George Fafale,,Male,TJ,NR,Outdoor
14.95,,SOM,Sheikh,SOM,1968-01-01,Mohamed Osman Yussuf,,Male,TJ,NR,Outdoor
17.01,0.0,SRB,Sarajevo,YUG,1981-09-20,Milos Srejovic,1956.0,Male,TJ,NR,Outdoor
16.72,1.5,SRI,Diyagama,SRI,2023-03-31,L.P.G. Dhananjaya,1997.0,Male,TJ,NR,Outdoor
15.87,1.0,STP,Nerja,ESP,2021-06-19,Alberto De Oliveira,1999.0,Male,TJ,NR,Outdoor
15.56,,SUD,Khartoum,SUD,1996-03-15,Khaled Ahmed Musa,,Male,TJ,NR,Outdoor
17.13,0.8,SUI,Göteborg/U,SWE,2006-08-10,Alexander Martínez,1977.0,Male,TJ,NR,Outdoor
16.96,1.3,SUR,Barranquilla,COL,2018-08-02,Miguel Van Assen,1997.0,Male,TJ,NR,Outdoor
17.46,0.0,SVK,Zhukovskiy,RUS,2008-06-15,Dmitrij Vaľukevič,1981.0,Male,TJ,NR,Outdoor
17.79,1.4,SWE,Athína,GRE,2004-08-22,Christian Olsson,1980.0,Male,TJ,NR,Outdoor
16.18,,SWZ,Barcelona,ESP,1992-08-01,Sizwe Mdluli,1969.0,Male,TJ,NR,Outdoor
16.67,0.5,SYR,Almería,ESP,2005-06-29,Mohamed Hazouri,1983.0,Male,TJ,NR,Outdoor
15.92,1.6,TAN,Stellenbosch,RSA,2019-04-04,Anthony Mwanga,1997.0,Male,TJ,NR,Outdoor
14.18,,TGA,Nuku'Alofa,TGA,1997-04-01,Viliame Vaki,,Male,TJ,NR,Outdoor
14.18,,TGA,Nuku'Alofa,TGA,2000-10-04,Tokaikolo Latapu,,Male,TJ,NR,Outdoor
16.66,2.0,THA,Bangkok,THA,2002-05-21,Nattaporn Nomkanha,1971.0,Male,TJ,NR,Outdoor
17.52,1.8,TJK,Kyiv,URS,1991-07-12,Vasiliy Sokov,1968.0,Male,TJ,NR,Outdoor
17.20,,TKM,Askhabad,TKM,1983-05-02,Vladimir Brigadniy,1955.0,Male,TJ,NR,Outdoor
14.00,-1.8,TKS,Kingston,JAM,2022-04-09,Rayvon Hilly-Ruben,2005.0,Male,TJ,NR,Outdoor
16.18,1.3,TOG,Port Elizabeth,RSA,2003-02-28,Akotia Tchalla,1981.0,Male,TJ,NR,Outdoor
16.65,,TPE,Delhi,IND,1989-11-18,Nai Hui-Fang,1969.0,Male,TJ,NR,Outdoor
16.67,-0.3,TTO,Szombathely,HUN,2004-08-08,LeJuan Simon,1981.0,Male,TJ,NR,Outdoor
16.76,1.3,TUN,Limôges,FRA,1995-07-08,Mohamed Karim Sassi,1968.0,Male,TJ,NR,Outdoor
17.37,1.1,TUR,Gävle,SWE,2019-07-14,Necati Er,1997.0,Male,TJ,NR,Outdoor
13.61,-1.1,TUV,Apia,SAM,2011-06-22,Okilani Tinilau,1989.0,Male,TJ,NR,Outdoor
16.80,0.0,UAE,Aleppo,SYR,2010-09-20,Mohammed Abdullah Darwish,1986.0,Male,TJ,NR,Outdoor
16.26,,UGA,Lagos,NGR,1973-01-17,Abraham Munabi,1940.0,Male,TJ,NR,Outdoor
17.90,2.0,UKR,Bratislava,TCH,1990-06-20,Vladimir Inozemtsev,1964.0,Male,TJ,NR,Outdoor
15.08,1.2,URU,Mar del Plata,ARG,2010-11-07,Emiliano Lasa,1990.0,Male,TJ,NR,Outdoor
18.21,0.2,USA,Beijing,CHN,2015-08-27,Christian Taylor,1990.0,Male,TJ,NR,Outdoor
17.36,1.8,UZB,Odessa,URS,1988-08-21,Vladimir Chernikov,1959.0,Male,TJ,NR,Outdoor
14.65,,VAN,Pirae,PYF,1978-08-31,Georges Taniel,1958.0,Male,TJ,NR,Outdoor
16.90,1.4,VEN,São Paulo,BRA,2023-05-10,Leodan Torrealba,1996.0,Male,TJ,NR,Outdoor
16.67,1.3,VIE,Nay Pyi Taw,MYA,2013-12-19,Nguyen Van Hung,1989.0,Male,TJ,NR,Outdoor
16.09,-0.1,VIN,Gold Coast,AUS,2018-04-12,Jumonne Exeter,1993.0,Male,TJ,NR,Outdoor
14.17,,YEM,UNKNOWN,???,1962-02-01,Christopher Salole,,Male,TJ,NR,Outdoor
16.30,,ZAM,Lusaka,ZAM,1992-08-23,Gordon Mulenga,1973.0,Male,TJ,NR,Outdoor
17.34,1.6,ZIM,Lafayette LA,USA,1998-03-28,Ndabazihle Mdhlongwa,1973.0,Male,TJ,NR,Outdoor
15.71,,ALB,Dortmund,GER,2003-01-05,Gesim Couvatis,1972.0,Male,TJ,NR,Indoor
17.35,,ALG,Glasgow,GBR,2024-03-02,Yasser Triki,1997.0,Male,TJ,NR,Indoor
14.81,,AND,San Cugat,ESP,1992-01-25,Xavier Montané,1971.0,Male,TJ,NR,Indoor
16.52,,ARG,Cochabamba,BOL,2020-02-02,Maximiliano Díaz,1988.0,Male,TJ,NR,Indoor
17.21,,ARM,Yerevan,ARM,1999-01-17,Armen Martirosyan,1969.0,Male,TJ,NR,Indoor
17.20,,AUS,Lisboa,POR,2001-03-09,Andrew Murphy,1969.0,Male,TJ,NR,Indoor
16.46,,AUT,Budapest,HUN,1989-03-03,Alfred Stummer,1962.0,Male,TJ,NR,Indoor
17.37,,AZE,Volgograd,URS,1988-02-12,Vasif Asadov,1965.0,Male,TJ,NR,Indoor
16.90,,BEL,Gent,BEL,2005-01-29,Michaël Velter,1980.0,Male,TJ,NR,Indoor
17.72,,BER,Barcelona,ESP,1995-03-12,Brian Wellman,1967.0,Male,TJ,NR,Indoor
15.55,,BIH,Beograd,SRB,2019-12-28,Sedin Heco,1997.0,Male,TJ,NR,Indoor
15.84,,BIZ,Boston MA,USA,2016-01-30,Brandon Jones,1987.0,Male,TJ,NR,Indoor
17.39,,BLR,Volgograd,URS,1988-02-12,Aleksandr Leonov,1962.0,Male,TJ,NR,Indoor
16.00,,BOT,Indianapolis IN,USA,2017-12-08,Earnest Mosheleketi,1993.0,Male,TJ,NR,Indoor
17.56,,BRA,Moskva,RUS,2006-03-12,Jadel Gregório,1980.0,Male,TJ,NR,Indoor
15.97,,BRN,Hangzhou,CHN,2014-02-16,Mohamed Youssef Al-Sahabi,1989.0,Male,TJ,NR,Indoor
17.45,,BUL,Athína,GRE,1988-02-06,Khristo Markov,1965.0,Male,TJ,NR,Indoor
18.07,,BUR,Aubière,FRA,2021-01-16,Hugues Fabrice Zango,1993.0,Male,TJ,NR,Indoor
17.14,,CAN,Indianapolis IN,USA,1989-03-11,Edrick Floréal,1966.0,Male,TJ,NR,Indoor
15.60,,CAY,Murfreesboro TN,USA,2008-12-06,Carlos Morgan,1986.0,Male,TJ,NR,Indoor
15.54,,CGO,Birmingham,GBR,2000-01-29,Farel Mépandy,1979.0,Male,TJ,NR,Indoor
16.30,,CHI,Cochabamba,BOL,2020-02-02,Alvaro Cortéz,1995.0,Male,TJ,NR,Indoor
17.41,,CHN,Nanjing,CHN,2016-02-29,Dong Bin,1988.0,Male,TJ,NR,Indoor
16.54,,CMR,Metz,FRA,2013-02-24,Hugo Mamba,1982.0,Male,TJ,NR,Indoor
