result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
2:11:16,KGZ,Moskva,URS,1980-05-24,Satymkul Dzhumanazarov,1951,Male,Mar,NR,Outdoor
2:07:20,KOR,Tokyo,JPN,2000-02-13,Lee Bong-Ju,1970,Male,Mar,NR,Outdoor
2:29:36,KOS,Las Vegas,USA,1997-02-09,Rexhep Ajvazaj,,Male,Mar,NR,Outdoor
2:20:35,KSA,Budapest,HUN,2001-09-30,Abdullah Al-Sadiq,,Male,Mar,NR,Outdoor
2:19:17,KUW,Mesa,USA,2022-02-12,Abdul Mohsen Mubarak Al-Ali,1998,Male,Mar,NR,Outdoor
2:43:45,LAO,Vientiane,LAO,2013-02-24,Sysavath Thammavongchit,,Male,Mar,NR,Outdoor
2:14:24,LAT,Riga,LAT,2017-05-14,Valērijs Žolnerovičs,1985,Male,Mar,NR,Outdoor
2:13:33,LBA,Milano,ITA,2008-11-23,Ali Zaied,1974,Male,Mar,NR,Outdoor
2:20:31,LBN,Beyrouth,LBN,2010-11-07,Hussein Awada,1973,Male,Mar,NR,Outdoor
3:00:16,LBR,Monrovia,USA,2013-08-25,Raymond Dovenon,,Male,Mar,NR,Outdoor
2:16:06,LCA,St. Paul,USA,2003-10-05,Zepherinus Joseph,1975,Male,Mar,NR,Outdoor
2:08:09,LES,Osaka,JPN,2024-02-25,Tebello Ramakongoana,1996,Male,Mar,NR,Outdoor
2:23:55,LIE,Chicago,USA,2011-10-09,Marcel Tschopp,1974,Male,Mar,NR,Outdoor
2:12:35,LTU,Frankfurt,GER,1997-10-26,Ceslovas Kundrotas,1961,Male,Mar,NR,Outdoor
2:14:03,LUX,Frankfurt,GER,1985-05-19,Justin Gloden,1953,Male,Mar,NR,Outdoor
2:28:22,MAC,Melbourne,AUS,1994-06-05,Lam Weng Hei,,Male,Mar,NR,Outdoor
2:17:14,MAD,Moskva,URS,1979-07-29,Jules Randrianarivelo,1956,Male,Mar,NR,Outdoor
2:05:12,MAR,Barcelona,ESP,2023-03-19,Othmane El Goumri,1992,Male,Mar,NR,Outdoor
2:22:34,MAS,Fukuoka,JPN,2023-12-03,Tan Huong Leong,1988,Male,Mar,NR,Outdoor
