result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
21.40,+1.6,MTN,Hérouville,FRA,2006-06-24,Cheikh Diagana,1976,Male,200,NR
21.52,,MYA,Yangon,MYA,1969-12-08,Soe Win,,Male,200,NR
19.68,+0.4,NAM,Atlanta GA,USA,1996-08-01,Frank Fredericks,1967,Male,200,NR
21.18,+1.4,NCA,Managua,NCA,2022-07-03,Yeykell Romero,2002,Male,200,NR
19.81,+0.4,NED,Lausanne,SUI,2016-08-25,Churandy Martina,1984,Male,200,NR
21.92,,NEP,Madras,IND,1995-12-23,Ram Krishna Chaudhari,,Male,200,NR
22.34,+1.3,NFI,Halmstad,SWE,1986-07-19,Jonathan McKee,1968,Male,200,NR
19.73,+0.8,NGR,Austin TX,USA,2019-06-07,Divine Oduduru,1996,Male,200,NR
21.24,,NIG,Niamey,NIG,2005-05-29,Yacouba Bello,,Male,200,NR
22.00,+1.0,NIU,Auckland,NZL,2011-03-22,Lagaua Isaac Patuavalu,1990,Male,200,NR
22.40,+1.6,NMI,Apia,SAM,2007-06-09,Tyrone Omar,1987,Male,200,NR
19.89,+1.3,NOR,Stuttgart,GER,2007-09-23,Jaysuma Saidy Ndure,1984,Male,200,NR
21.96,-0.4,NRU,Gold Coast,AUS,2018-04-10,Jonah Harris,1999,Male,200,NR
20.37,+0.1,NZL,Hamilton2,NZL,2017-03-19,Joseph Millar,1992,Male,200,NR
20.62,-0.1,OMA,Marrakech,MAR,2023-06-24,Mohammed Obaid Al-Saadi,1994,Male,200,NR
20.87,+1.7,PAK,Almaty,KAZ,2022-06-26,Shajar Abbas,2000,Male,200,NR
19.81,-0.3,PAN,Berlin,GER,2009-08-20,Alonso Edward,1989,Male,200,NR
20.44,-0.8,PAR,Asunción,PAR,2023-07-02,Cesar Almiron,2001,Male,200,NR
20.58,+1.7,PER,Tarija,BOL,2016-04-24,Andy Martínez,1993,Male,200,NR
20.84,+0.1,PHI,Kuala Lumpur,MAS,2017-08-23,Trenton Beram,1996,Male,200,NR
21.26,-0.3,PLE,Colmar,FRA,2014-06-13,Mohammed Abukhousa,1992,Male,200,NR
21.84,+0.7,PLW,Brisbane,AUS,2015-03-08,Rodman Teltull,1994,Male,200,NR
20.97,+1.9,PNG,Jacksonville FL,USA,2016-12-06,Theo Piniau,1993,Male,200,NR
19.98,+1.7,POL,Sevilla,ESP,1999-08-25,Marcin Urbaś,1976,Male,200,NR
20.01,+1.6,POR,Göteborg/U,SWE,2006-08-10,Francis Obikwelu,1978,Male,200,NR
21.23,,PRK,Pyongyang,PRK,1991-10-17,Yu Jong-Rim,,Male,200,NR
20.44,+1.3,PUR,Corvallis OR,USA,1987-05-23,Luis Morales,1964,Male,200,NR
