result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
2:38:48,SKN,New York NY,USA,1989-11-05,Jesse Mulcaire,,Male,Mar,NR
2:33:38,SLE,London,GBR,2014-04-13,Idrissa Kargbo,,Male,Mar,NR
2:11:50,SLO,Torino,ITA,2000-03-26,Roman Kejžar,1966,Male,Mar,NR
2:21:19,SMR,Carpi,ITA,1991-10-27,Gian Luigi Macina,1963,Male,Mar,NR
2:36:16,SOL,Brisbane,AUS,1982-10-08,McKay Talasasa,1962,Male,Mar,NR
2:09:09,SOM,Amsterdam,NED,2022-10-16,Khadar Basheer Youssouf,1997,Male,Mar,NR
2:13:57,SRB,Houston TX,USA,1995-01-15,Borislav Devic,1963,Male,Mar,NR
2:13:47,SRI,London,GBR,2015-04-26,Anuradha Indrajith Cooray,1978,Male,Mar,NR
2:14:32,SSD,St. Paul MN,USA,2011-10-02,Guor Marial,1984,Male,Mar,NR
3:11:21,STH,Melbourne,AUS,2006-03-19,Errol Duncan,1961,Male,Mar,NR
2:38:32,STP,Brazzaville,CGO,1980-06-29,Mario Pitra,,Male,Mar,NR
2:06:38,SUI,Zürich,SUI,2022-04-10,Tadesse Abraham,1982,Male,Mar,NR
2:05:10,SUI,Berlin,GER,2023-09-24,Tadesse Abraham,1982,Male,Mar,NR
2:31:48,SUR,Rotterdam,NED,2022-04-10,Janiek Pomba,2000,Male,Mar,NR
2:09:53,SVK,London,GBR,1998-04-26,Róbert Štefko,1968,Male,Mar,NR
2:08:41,SWE,Amsterdam,NED,2023-10-15,Samuel Tsegay,1988,Male,Mar,NR
2:07:36,SWE,Sevilla,ESP,2024-02-18,Suldan Hassan,1998,Male,Mar,NR
2:10:03,SWE,Sevilla,ESP,2020-02-23,Mustafa Mohamed,1979,Male,Mar,NR
2:09:47,SWE,Paris,FRA,2023-04-02,Samuel Tsegay,1988,Male,Mar,NR
2:12:55,SWZ,Christchurch,NZL,1974-01-31,Richard Mabuza,1946,Male,Mar,NR
2:26:27,SYR,Latakia,SYR,1985-12-06,Ahmed Saker,,Male,Mar,NR
2:03:00,TAN,Valencia,ESP,2022-12-04,Gabriel Gerald Geay,1996,Male,Mar,NR
2:45:04,TGA,Phoenix AZ,USA,2013-02-03,Tongia Vakaafi,1975,Male,Mar,NR
2:16:56,THA,Frankfurt,GER,2018-10-28,Tony Payne,1989,Male,Mar,NR
2:18:40,TJK,Moskva,URS,1980-06-20,Anatoli Belugurov,,Male,Mar,NR
2:15:53,TKM,Uzhgorod,URS,1980-10-05,Rashid Kakadzanov,1957,Male,Mar,NR
3:47:57,TKS,Chicago IL,USA,2004-10-10,Todd Foss,,Male,Mar,NR
2:26:46,TLS,Dili,TLS,2017-08-19,Romenio De Deus Maia,,Male,Mar,NR
2:30:17,TOG,Lomé,TOG,1990-11-11,Outcha Améwouho,1969,Male,Mar,NR
2:14:35,TPE,Oita,JPN,1995-02-05,Hsu Gi-Sheng,1964,Male,Mar,NR
2:13:03,TTO,Cleveland OH,USA,2001-04-29,Ronnie Holassie,1971,Male,Mar,NR
2:12:36,TUN,Marrakech,MAR,1996-01-14,Tahar Mansouri,1965,Male,Mar,NR
2:04:16,TUR,Valencia,ESP,2019-12-01,Kaan Kigen Özbilen,1986,Male,Mar,NR
2:23:42,UAE,Dubai,UAE,2002-01-11,Jassim Ali Abbas,,Male,Mar,NR
2:04:48,UGA,Hamburg,GER,2022-04-24,Stephen Kissa,1995,Male,Mar,NR
2:07:15,UKR,Fukuoka,JPN,2006-12-03,Dmytro Baranovskyy,1979,Male,Mar,NR
2:10:35,URU,Hamburg,GER,2023-04-23,Ernesto Zamora,1983,Male,Mar,NR
2:11:02,URU,Sevilla,ESP,2023-02-19,Cristian Zamora,1991,Male,Mar,NR
2:05:38,USA,London,GBR,2002-04-14,Khalid Khannouchi,1971,Male,Mar,NR
2:13:28,UZB,Mogilyov,URS,1985-06-15,Vladimir Beloborodov,1951,Male,Mar,NR
2:07:02,UZB,Valencia,ESP,2023-12-03,Shokhrukh Davlyatov,1996,Male,Mar,NR
3:01:04,VAN,Dubai,UAE,2018-01-26,Armon Napuat,,Male,Mar,NR
2:11:25,VEN,Cleveland OH,USA,2000-04-30,Carlos Tarazona,1965,Male,Mar,NR
2:21:51,VIE,Hanoi,VIE,2003-12-12,Nguyen Chi Dong,1980,Male,Mar,NR
2:18:42,VIE,Hongkong,HKG,2024-01-21,Nguyen Thanh Hoang,1995,Male,Mar,NR
2:15:30,VIN,Port of Spain,TTO,2003-01-26,Pamenos Ballantyne,1973,Male,Mar,NR
2:40:41,YEM,Atlanta GA,USA,1996-08-04,Mohamed Al-Saadi,1968,Male,Mar,NR
2:11:35,ZAM,Duluth MN,USA,2015-06-20,Jordan Chipangama,1988,Male,Mar,NR
2:06:48,ZIM,Valencia,ESP,2022-12-04,Isaac Mpofu,1988,Male,Mar,NR
