result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
21.22,NOR,Indianapolis IN,USA,1986-06-06,Lars Arvid Nilsen,1965,Male,SP,NR
16.07,NRU,Saipan,FRA,2023-06-23,Jonathan-Daiwea Detageouwa,1994,Male,SP,NR
22.90,NZL,Doha,QAT,2019-10-05,Tom Walsh,1992,Male,SP,NR
15.50,OMA,Doha,QAT,2013-04-08,Khamis Said Al-Qasmi,,Male,SP,NR
18.25,PAK,Karachi,PAK,2000-05-21,Ghufrain Hussain,1969,Male,SP,NR
15.81,PAN,Air Force Academy CO,USA,2002-05-18,Guillermo Morrison,1981,Male,SP,NR
20.02,PER,Miami FL,USA,2013-06-09,Michael Putman,1989,Male,SP,NR
20.40,PHI,Bloomington IN,USA,2019-06-22,Willie Morrison,1996,Male,SP,NR
14.93,PLE,Gaza,PLE,1999-10-28,Mo´een Al Shaer,,Male,SP,NR
14.30,PLW,Koror,PLW,2001-11-07,Jersey Iyar,,Male,SP,NR
15.64,PNG,Suva,FIJ,2017-06-30,Debono Paraka,1990,Male,SP,NR
22.32,POL,Warszawa,POL,2019-07-28,Michał Haratyk,1992,Male,SP,NR
21.56,POR,Vaasa,FIN,2017-06-24,Tsanko Arnaudov,1992,Male,SP,NR
15.79,PRK,Pyongyang,PRK,1992-04-24,Kim Hak Chol,,Male,SP,NR
20.22,PUR,Irvine CA,USA,2000-05-28,Chris Merced,1976,Male,SP,NR
20.54,QAT,Stayki,BLR,2005-06-25,Khalid Habash Al-Suwaidi,1984,Male,SP,NR
21.29,ROU,Brno,CZE,2021-06-13,Andrei Toader,1997,Male,SP,NR
21.97,RSA,Eugene OR,USA,2001-06-02,Janus Robberts,1979,Male,SP,NR
22.24,RUS,Tallinn,URS,1986-06-21,Sergey Smirnov,1960,Male,SP,NR
14.05,RWA,Valbonne,FRA,1981-07-29,François Rwema,,Male,SP,NR
19.46,SAM,Melbourne,AUS,2012-03-03,Emanuele Fuamatu,1989,Male,SP,NR
16.44,SEN,Cairo,EGY,1982-08-28,Lamine Badji,,Male,SP,NR
15.56,SEY,Victoria,CAN,2008-03-08,Selwyn Beauchamp,,Male,SP,NR
17.44,SGP,Manila,PHI,2003-09-23,Dong Enxin,1981,Male,SP,NR
15.21,SKN,Basseterre,SKN,2015-02-08,Dion Warde,,Male,SP,NR
16.01,SLE,Manchester,GBR,2002-07-30,Tony Soalla-Bell,1976,Male,SP,NR
20.76,SLO,Thessaloníki,GRE,2006-06-17,Miran Vodovnik,1977,Male,SP,NR
13.56,SMR,San Marino,SMR,1975-06-16,Danilo Ranocchini,1956,Male,SP,NR
13.49,SOL,Honiara,SOL,1971-01-01,Michael Meone,,Male,SP,NR
12.78,SOM,Mogadishu,SOM,1983-10-01,Abdi Omar Koshinga,,Male,SP,NR
21.88,SRB,Doha,QAT,2021-05-28,Armin Sinančević,1996,Male,SP,NR
17.55,SRI,Diyagama,SRI,2017-06-01,Charith Kapukotuwa,1990,Male,SP,NR
13.07,STP,Coimbra,POR,2008-07-02,Hedson Trindade,,Male,SP,NR
14.89,SUD,Fribourg,SUI,1988-05-28,Ahmed Duraid,,Male,SP,NR
22.75,SUI,Bern,SUI,1988-08-23,Werner Günthör,1961,Male,SP,NR
17.02,SUR,Paramaribo,SUR,2021-02-27,Janique Pallees,1994,Male,SP,NR
20.87,SVK,Turnov,CZE,2004-05-23,Milan Haborák,1973,Male,SP,NR
21.33,SWE,Provo UT,USA,1975-06-06,Hans Höglund,1952,Male,SP,NR
14.70,SWZ,Somhlolo,SWZ,2004-11-09,Dimsani Fakudze,1976,Male,SP,NR
17.10,SYR,Latakia,SYR,2012-09-11,Mousab Aicha Esheb,1991,Male,SP,NR
19.03,TGA,San Francisco CA,USA,2016-02-27,Josh Uikilifi,1990,Male,SP,NR
18.20,THA,Bangkok,THA,2009-04-28,Chatchawal Polyemg,1982,Male,SP,NR
18.50,TJK,Tashkent,URS,1979-05-08,Dzhumanazar Abbyasov,1953,Male,SP,NR
17.19,TKM,Ashkhabad,TKM,2013-05-22,Tejen Hommadov,1984,Male,SP,NR
11.03,TLS,Jakarta,INA,1981-09-01,I. Nyiman Susekna,,Male,SP,NR
17.98,TOG,Durban,RSA,2016-06-22,Yao Adantor,1992,Male,SP,NR
20.58,TPE,Athens GA,USA,2011-08-19,Chang Ming-Huang,1982,Male,SP,NR
19.12,TTO,Gold Coast,AUS,2018-04-08,Akeem Stewart,1992,Male,SP,NR
18.51,TUN,Radès,TUN,2006-07-08,Mohammed Meddeb,1981,Male,SP,NR
20.81,TUR,Bursa,TUR,2022-05-08,Alperen Karahan,2000,Male,SP,NR
13.55,TUV,UNKNOWN,???,2011-01-01,Fakapelu Sileti,1978,Male,SP,NR
17.52,UAE,Dubai,UAE,2012-12-12,Ahmed Ali Mohamed Hassan,1989,Male,SP,NR
15.76,UGA,Colombo,SRI,1962-04-11,Yovan Ochola,1935,Male,SP,NR
21.81,UKR,Kyiv,UKR,2003-07-03,Yuriy Bilonoh,1974,Male,SP,NR
15.54,URU,Montevideo,URU,1987-09-12,Oscar Gadea,,Male,SP,NR
23.56,USA,Westwood CA,USA,2023-05-27,Ryan Crouser,1992,Male,SP,NR
20.81,UZB,Tashkent,URS,1983-05-24,Grigoriy Skorikov,1954,Male,SP,NR
14.27,VAN,Port Vila,VAN,1980-06-27,Georges Laurence,,Male,SP,NR
20.01,VEN,Maracaibo,VEN,2000-08-26,Yojer Medina,1973,Male,SP,NR
17.39,VIE,Phnom Penh,CAM,2023-05-09,Phan Thanh Binh,1995,Male,SP,NR
18.57,VIN,Greensboro NC,USA,2010-05-28,Adonson Shallow,1986,Male,SP,NR
13.18,YEM,Sana’a,YEM,2010-04-26,Atig Mohamed Nasir,,Male,SP,NR
13.94,ZAM,Lusaka,ZAM,2017-12-22,Kelvin Kasongo,,Male,SP,NR
15.90,ZIM,Salisbury,GBR,1969-01-19,Addison Dale,,Male,SP,NR
