code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AR;6;DIS;M;71.48;;Allendale;USA;Outdoor;2024-05-11;Alex Rose;;;SAM;1991;Male
AR;3;DIS;M;70.29;;Vila Nova de Cerveira;POR;Outdoor;2020-07-22;Mauricio Ortega;;;COL;1994;Male
AR;4;HAM;M;81.27;;Cairo;EGY;Outdoor;2014-03-21;Mostafa Hicham Al-Gamal;;;EGY;1988;Male
AR;5;HAM;M;84.86;;Praha;CZE;Outdoor;2003-06-29;Koji Murofushi;;;JPN;1974;Male
AR;1;HAM;M;86.74;;Stuttgart;FRG;Outdoor;1986-08-30;Yuriy Sedykh;;;UKR;1955;Male
AR;2;HAM;M;84.38;;Nairobi;KEN;Outdoor;2024-04-20;Ethan Katzberg;;;CAN;2002;Male
AR;6;HAM;M;79.29;;Varaždin;CRO;Outdoor;2002-07-06;Stuart Rendell;;;AUS;1972;Male
AR;3;HAM;M;78.63;;Celje;SLO;Outdoor;2016-06-19;Wagner Domingos;;;BRA;1983;Male
AR;4;HOC;M;2.38;;Oudtshoorn;RSA;Outdoor;2005-03-05;Jacques Freitag;;;RSA;1982;Male
AR;5;HOC;M;2.43;;Bruxelles;BEL;Outdoor;2014-09-05;Mutaz Essa Barshim;;;QAT;1991;Male
AR;1;HOC;M;2.42;;Stockholm;SWE;Outdoor;1987-06-30;Patrik Sjöberg;;;SWE;1965;Male
AR;2;HOC;M;2.45;;Salamanca;ESP;Outdoor;1993-07-27;Javier Sotomayor;;;CUB;1967;Male
AR;6;HOC;M;2.36;;Melbourne;AUS;Outdoor;1997-03-02;Tim Forsyth;;;AUS;1973;Male
AR;6;HOC;M;2.36;;Eberstadt;GER;Outdoor;2018-08-26;Brandon Starc;;;AUS;1993;Male
AR;3;HOC;M;2.33;;Pereira;COL;Outdoor;1994-10-17;Gilmar Mayo;;;COL;1969;Male
AR;4;SPE;M;92.72;;Beijing;CHN;Outdoor;2015-08-26;Julius Yego;;;KEN;1989;Male
AR;5;SPE;M;91.36;;Taipei;TPE;Outdoor;2017-08-26;Cheng Chao-Tsun;;;TPE;1993;Male
AR;1;SPE;M;98.48;;Jena;GER;Outdoor;1996-05-25;Jan Železný;;;CZE;1966;Male
AR;2;SPE;M;93.07;;Doha;QAT;Outdoor;2022-05-13;Anderson Peters;;;GRN;1997;Male
AR;6;SPE;M;89.02;;Brisbane;AUS;Outdoor;2008-02-29;Jarrod Bannister;;;AUS;1984;Male
AR;3;SPE;M;85.11;;Cuiabá;BRA;Outdoor;2024-05-12;Pedro Henrique Rodrigues;;;BRA;1999;Male
AR;4;WEI;M;8.65;1.3;Potchefstroom;RSA;Outdoor;2017-04-22;Luvo Manyonga;;;RSA;1991;Male
AR;5;WEI;M;8.48;0.6;Sotteville-lès-Rouen;FRA;Outdoor;2006-07-02;Mohamed Salman Al-Khuwalidi;;;KSA;1981;Male
AR;1;WEI;M;8.86;1.9;Tsakhkadzor;URS;Outdoor;1987-05-22;Robert Emmiyan;;;ARM;1965;Male
