Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
AR;6;5K0;M;13:04.33;;Boston;USA;Indoor;2024-01-26;Geordie;Beamish;NZL;1996;Male
AR;6;50H;M;7.09;;CA;USA;Indoor;2001-01-20;Joseph;Rodan;FIJ;1977;Male
AR;6;60H;M;7.56;;Beograd;SRB;Indoor;2022-03-20;Chris;Douglas;AUS;1997;Male
AR;6;5G;M;18:52.20;;Indianapolis;USA;Indoor;1987-03-07;David;Smith;AUS;1955;Male
AR;6;MEI;W;4:19.03;;New York;USA;Indoor;2024-02-11;Jessica;Hull;AUS;1996;Female
AR;6;50M;W;6.3;;Toronto;CAN;Indoor;1965-01-29;Pamela;Kilborn;AUS;1939;Female
AR;6;60M;W;7.06;;Glasgow;GBR;Indoor;2024-03-02;Zoe;Hobbs;NZL;1997;Female
AR;6;200;W;22.64;;Barcelona;ESP;Indoor;1995-03-10;Melinda;Gainsford;AUS;1971;Female
AR;6;200;W;22.64;;Barcelona;ESP;Indoor;1995-03-11;Melinda;Gainsford;AUS;1971;Female
AR;6;800;W;1:59.46;;Birmingham;GBR;Indoor;2022-02-19;Catriona;Bisset;AUS;1994;Female
AR;6;1K0;W;2:36.96;;MA;USA;Indoor;2000-02-06;Toni;Hodgkinson;NZL;1971;Female
AR;6;1K5;W;4:01.19;;New York;USA;Indoor;2024-02-11;Jessica;Hull;AUS;1996;Female
AR;6;3K0;W;8:24.39;;Glasgow;GBR;Indoor;2024-03-02;Jessica;Hull;AUS;1996;Female
AR;6;5K0;W;14:39.89;;NY;USA;Indoor;2009-02-27;Kimberley;Smith;NZL;1981;Female
AR;6;5K0;W;14:39.89;;NY;USA;Indoor;2009-02-27;Kimberley;Smith;NZL;1981;Female
AR;6;60H;W;7.73;;Istanbul;TUR;Indoor;2012-03-10;Sally;Pearson;AUS;1986;Female
AR;6;4×2;W;1:42.34;;ID;USA;Indoor;2017-02-18;Marybyrnong;Sports Academy;AUS;;Female
AR;5;HOC;M;2.43;;Bruxelles;BEL;Outdoor;2014-09-05;Mutaz;Essa Barshim;QAT;1991;Male
AR;5;STA;M;6.00;;Bergen;NOR;Outdoor;2023-06-10;Ernest;John Obiena;PHI;1995;Male
AR;5;STA;M;6.00;;Budapest;HUN;Outdoor;2023-08-26;Ernest;John Obiena;PHI;1995;Male
AR;5;WEI;M;8.48;0.6;Sotteville-lès-Rouen;FRA;Outdoor;2006-07-02;Mohamed;Salman Al Khuwalidi;KSA;1981;Male
AR;5;DRE;M;17.59;0.0;Jinan;CHN;Outdoor;2009-10-26;Yanxi;Li;CHN;1984;Male
AR;5;KUG;M;21.77;;Bhubaneshwar;IND;Outdoor;2023-06-19;Tajinderpal;Singh Toor;IND;1994;Male
AR;5;DIS;M;69.32;;Tallinn;EST;Outdoor;2008-06-03;Ehsan;Hadadi;IRI;1985;Male
AR;5;HAM;M;84.86;;Praha;CZE;Outdoor;2003-06-29;Koji;Murofushi;JPN;1974;Male
AR;5;SPE;M;91.36;;Taipei City;TPE;Outdoor;2017-08-26;Chao-Tsun;Cheng;TPE;1993;Male
AR;5;100;M;9.83;0.9;Tokyo;JPN;Outdoor;2021-08-01;Bingtian;Su;CHN;1989;Male
AR;5;200;M;19.88;0.9;London;GBR;Outdoor;2019-07-21;Zhenye;Xie;CHN;1993;Male
AR;5;400;M;43.93;;Beijing;CHN;Outdoor;2015-08-23;Youssef;Ahmed Masrahi;KSA;1987;Male
